number	disabledPercentage	avgGearsEjectedTele	avgKeyShotTime	sdBaselineReachedPercentage	avgGearsPlacedByLiftAuto	actualSeed	incapacitatedPercentage	predictedSeed	avgLowShotsAuto	avgGearsPlacedAuto	avgHoppersOpenedTele	actualNumRPs	avgDefense	sdLiftoffAbility	baselineReachedPercentage	sdGearsPlacedTele	sdLowShotsAuto	sdGearsPlacedAuto	avgGearControl	liftoffPercentage	avgHighShotsTele	liftoffAbility	avgGearsFumbledTele	avgAgility	avgSpeed	firstPickAbility	avgHighShotsAuto	avgGearsPlacedTele	sdHighShotsTele	predictedNumRPs	avgHoppersOpenedAuto	avgBallControl	avgLowShotsTele	sdLowShotsTele	overallSecondPickAbility	disfunctionalPercentage	avgGearsPlacedByLiftTele	firstPickRotorBonusChance	sdHighShotsAuto	
4255	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
2135	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
5677	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
4543	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
5104	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
4171	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
4711	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
3482	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
3501	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
4135	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
3189	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
6059	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
5852	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
649	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
4973	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
1458	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
1662	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
5817	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	{'lift1': None, 'lift2': None, 'lift3': None}	None	None	
