teamNumber,matchNumber,avgHopperShotTime,avgKeyShotTime,didBecomeIncapacitated,didLiftoff,didStartDisabled,disfunctionalPercentage,drivingAbility,liftoffAbility,liftoffTime,lowShotTimesForBoilerAuto,lowShotTimesForBoilerTele,numGearsEjectedTele,numGearsFumbledTele,numGearsPlacedAuto,numGearsPlacedTele,numGroundGearIntakesTele,numHighShotsAuto,numHighShotsTele,numHoppersUsedAuto,numHoppersUsedTele,numHumanGearIntakesTele,numLowShotsAuto,numLowShotsTele,numRPs,rankAgility,rankBallControl,rankDefense,rankGearControl,rankSpeed,scoutName,superNotes,wasDisfunctional
2073,66,13.0,,False,True,False,0.0,,50,5.357,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,1,2.5,3,0,0,0,0,0,0,0,2,3,0,0,3,1,"['David', 'Michael']",climbed,False
5104,18,,,False,True,False,0.0,,50,6.099333333333334,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,1,3,0,0.0,0.0,0,0,3,0.0,0.0,4,2,0,0,2,2,"['Noemi', '\nsaif', 'David']",climbed,False
3859,36,,,False,True,False,0.0,,50,6.9959999999999996,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,3,3,0,0,0,0,0,0,0,2,3,0,0,3,3,"['Caroline', 'Astha', 'Teo']",climbed,False
9973,28,,,False,True,False,,,,10.722000000000001,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,,,0,,,0,0,1,,,,,,,,,"['Alex', 'saif', 'Noemi']",,
2813,32,6.142857142857143,,False,True,False,0.0,,50,12.511333333333333,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,3,3,"['Tim', 'Justin', 'Amanda']",,False
9973,57,4.0,7.833333333333334,False,True,False,0.0,,50,4.018666666666667,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,0,3.935828877005348,10.20855614973262,0,0,1,0.0,0.0,2,1,0,0,2,3,"['Kate', 'Anoushka', 'Aidan']",climbed,False
,,,,False,False,False,,,,0,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",1,1,,,4,,,0,0,0,,,,,,,,,['Louise'],,
971,55,,5.333333333333334,False,True,False,0.0,,50,5.344666666666666,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,1,0,4,0,6.7586649550706035,19.236200256739412,0,1,3,0.0,0.0,0,3,3,0,1,3,"['Amanda', 'Noah', 'David']",climbed,False
973,14,14.333333333333334,14.333333333333332,False,True,False,0.0,,50,2.9133333333333336,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,0,0,2,1,0,0,1,0,0,0,0,4,3,3,0,3,3,"['Teo', 'Amanda', 'Noah']",,False
8973,58,4.0,4.611111111111111,False,True,False,0.0,,50,13.546333333333331,"[{'position': None, 'numShots': None, 'time': None}]","[{'position': None, 'numShots': None, 'time': None}]",0,2,0,2,0,0,0,0,1,2,0,0,2,2,0,0,3,3,"['Kate', 'Anoushka', 'Noah']",climbed,False
