MinnesotaNorthStar,mnmi2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2957,Knights,2,1.98,-0.39,-0.89,-0.89,-0.13,0.00,-7.92,-0.13,-1.00,-1.00,-2.64,-4.38,-1.81,-3.94,-1.29,0.29,0.11,-0.13,-0.03,11.03,-0.17,-1.00,-1.00,15.06,-0.12,-0.12,-0.12,-4.13,-1.00,-1.00,-1.00,-0.02,-0.03,0.37,-0.20,0.43,-0.24,11.29,-5.85,15.37,0.38,-0.12,-1.00,-1.00,-1.66,22.80,22.50,-0.08,-43.21,1376,,,,,
3018,Nordic Storm,3,5.83,-0.03,0.23,0.23,0.13,0.00,7.58,0.13,-1.00,-1.00,2.53,13.64,0.42,0.14,0.07,0.33,0.37,0.20,-0.04,29.45,1.16,-1.00,-1.00,69.47,-0.10,0.32,0.58,39.95,0.56,-1.00,-1.00,0.00,-0.04,0.08,0.06,0.12,0.18,3.49,4.71,37.03,0.86,1.29,-1.00,-1.00,0.30,87.82,83.80,0.31,13.22,1459,,,,,
3042,Cobalt Catalysts,3,3.71,-0.11,0.03,0.00,0.14,0.00,8.23,0.14,-1.00,-1.00,2.74,11.95,0.51,-4.99,-1.68,0.33,0.26,0.11,0.00,22.53,0.82,-1.00,-1.00,72.47,0.22,0.46,0.35,51.62,0.80,-1.00,-1.00,0.00,0.00,0.10,0.47,0.05,0.58,1.85,16.83,30.77,0.70,0.96,-1.00,-1.00,-1.68,101.25,101.43,0.27,52.59,1590,,,,,
3055,Furious George,2,3.81,0.02,0.12,0.13,0.08,0.00,4.71,0.08,-1.00,-1.00,1.57,8.74,0.25,0.88,0.29,0.33,0.28,0.07,0.00,24.02,0.78,-1.00,-1.00,41.80,0.11,0.11,0.11,17.13,-1.00,-1.00,-1.00,-0.00,0.00,0.10,0.08,0.10,0.08,3.05,2.40,29.19,0.69,0.87,-1.00,-1.00,0.44,53.62,53.72,0.16,-1.63,1447,,,,,
3130,The East Ridge Robotic Ominous RaptorS - the ERRORS,3,5.39,-0.15,0.81,0.72,0.64,0.00,38.12,0.64,-1.00,-1.00,12.71,44.24,-0.55,1.22,0.20,0.33,0.38,0.57,0.20,33.85,3.59,-1.00,-1.00,65.65,0.30,0.12,0.22,31.60,0.80,-1.00,-1.00,0.00,0.20,-0.11,0.64,0.11,0.04,2.09,4.24,71.97,1.48,4.23,-1.00,-1.00,0.93,114.13,133.88,0.32,42.42,1605,,,,,
3197,HexHounds,3,5.22,0.10,1.19,1.23,0.21,0.00,12.77,0.21,-1.00,-1.00,4.26,19.22,0.02,1.33,0.38,0.33,0.28,0.11,0.06,22.58,1.12,-1.00,-1.00,46.94,0.17,0.33,-0.02,23.98,0.60,-1.00,-1.00,0.00,0.06,0.39,0.04,0.24,0.00,7.93,0.25,35.35,0.78,1.34,-1.00,-1.00,1.61,66.40,72.09,0.11,-29.62,1468,,,,,
3206,Royal T-Wrecks,3,4.54,-0.02,0.79,0.79,-0.04,0.00,-2.56,-0.04,-1.00,-1.00,-0.85,2.77,1.13,0.08,0.20,0.33,0.35,0.23,-0.01,37.95,1.58,-1.00,-1.00,86.78,0.11,0.36,0.50,48.63,0.82,-1.00,-1.00,0.00,-0.01,-0.02,0.20,-0.33,0.15,-8.43,4.84,35.38,0.91,1.54,-1.00,-1.00,0.99,94.39,93.06,0.41,42.50,1507,,,,,
3277,ProDigi,3,2.93,-0.17,7.63,7.58,0.08,0.00,4.56,0.08,-1.00,-1.00,1.52,15.07,-0.49,53.24,17.64,0.33,0.19,0.00,0.01,18.21,0.35,-1.00,-1.00,103.00,0.44,0.58,0.33,67.15,0.83,-1.00,-1.00,0.00,0.01,0.01,-0.17,0.24,-0.06,6.03,-2.42,22.77,0.53,0.42,-1.00,-1.00,25.22,115.65,116.28,0.41,27.34,1527,,,,,
3292,The Aluminum Falcon,2,3.23,-0.11,-0.20,-0.19,0.01,0.00,0.72,0.01,-1.00,-1.00,0.24,4.59,-0.40,-0.64,-0.21,0.32,0.23,0.01,-0.01,19.92,0.48,-1.00,-1.00,33.35,0.04,0.04,0.04,10.42,-1.00,-1.00,-1.00,-0.00,-0.01,0.18,-0.01,0.21,-0.02,5.65,-0.21,24.83,0.59,0.56,-1.00,-1.00,-0.23,43.88,43.85,0.08,-14.77,1417,,,,,
3610,Islanders,2,2.85,-0.20,-0.41,-0.40,-0.03,0.00,-1.87,-0.03,-1.00,-1.00,-0.62,1.90,-0.82,-1.63,-0.53,0.31,0.19,-0.03,-0.01,17.25,0.28,-1.00,-1.00,27.86,-0.01,-0.01,-0.01,6.05,-1.00,-1.00,-1.00,-0.01,-0.01,0.24,-0.07,0.27,-0.09,7.34,-1.90,21.99,0.53,0.35,-1.00,-1.00,-0.66,37.55,37.44,0.03,-23.30,1431,,,,,
