,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
4377,Boyne City Blaze,St. Louis,MILakeSuperiorStateUniversity,5,5.34,0.00,-0.29,-0.29,0.32,0.00,19.18,0.32,-1.00,-1.00,6.39,24.24,0.01,2.11,0.60,0.33,0.33,0.25,-0.07,21.21,0.95,-1.00,-1.00,66.27,0.31,0.32,0.26,44.46,0.87,-1.00,-1.00,0.00,-0.07,0.09,0.21,0.20,-0.06,5.39,-0.52,40.39,0.85,1.27,-1.00,-1.00,0.31,89.99,83.38,0.18,5.61,1443,,,,,
4979,DevilStorm Robotics,St. Louis,Midwest,5,3.91,-0.37,0.75,0.64,0.35,0.00,20.76,0.35,-1.00,-1.00,6.92,25.31,0.30,0.49,0.13,0.33,0.33,0.43,-0.04,28.31,1.78,-1.00,-1.00,51.79,0.14,0.07,0.26,23.35,0.44,-1.00,-1.00,0.02,-0.04,0.08,-0.11,0.21,0.67,5.68,16.27,49.07,1.05,2.13,-1.00,-1.00,0.77,93.37,89.23,0.03,25.96,1470,,,,,
3620,Average Joes,St. Louis,MISt.Joseph,2,4.03,0.00,-0.64,-0.64,0.39,0.00,23.40,0.39,-1.00,-1.00,7.80,26.79,-0.84,-2.22,-0.79,0.33,0.37,0.67,0.00,39.33,3.03,-1.00,-1.00,71.24,0.09,0.13,0.43,32.71,0.63,-1.00,-1.00,0.00,0.00,0.19,0.00,-0.05,-0.08,-0.33,-1.89,62.73,1.37,3.42,-1.00,-1.00,-1.44,96.14,96.14,0.57,48.74,1696,,,,,
279,Tech Fusion,St. Louis,SmokyMountains,4,5.38,0.08,-0.20,-0.18,0.53,-0.03,29.95,0.50,-1.00,-1.00,9.98,35.16,-0.71,-0.27,-0.14,0.33,0.25,0.30,0.01,15.83,1.25,-1.00,-1.00,51.81,0.43,0.28,0.01,36.12,0.70,-1.00,-1.00,0.00,0.01,-0.11,0.08,0.12,-0.10,2.40,-2.00,45.78,0.89,1.75,-1.00,-1.00,-0.31,84.97,85.83,0.24,-3.06,1427,,,,,
11,MORT,St. Louis,MARMontgomery,5,3.92,-0.09,0.26,0.25,0.28,0.00,17.05,0.28,-1.00,-1.00,5.68,21.21,-0.04,1.51,0.42,0.33,0.34,0.47,0.21,42.72,3.53,-1.00,-1.00,91.76,0.30,0.37,0.31,48.62,0.95,-1.00,-1.00,-0.01,0.21,0.18,-0.04,-0.15,0.28,-2.95,6.70,59.77,1.35,3.82,-1.00,-1.00,0.66,119.67,140.36,0.40,46.46,1625,,,,,
4944,The Hi Fives,Houston,Colorado,4,3.59,1.67,-0.30,0.17,-0.04,0.00,-2.16,-0.04,-1.00,-1.00,-0.72,1.60,1.81,-0.22,0.11,0.33,0.43,0.14,0.01,37.84,1.47,-1.00,-1.00,70.89,0.21,0.24,0.21,32.94,0.64,-1.00,-1.00,-0.00,0.01,0.27,0.18,-0.01,0.05,1.14,2.23,35.68,0.91,1.44,-1.00,-1.00,0.28,74.71,75.40,0.10,-4.00,1423,,,,,
5484,Career Academy Robotics - Memento Vitam,St. Louis,INPerryMeridian,4,4.82,0.00,0.01,0.01,0.22,0.00,13.25,0.22,-1.00,-1.00,4.42,18.09,0.09,-0.60,-0.21,0.33,0.35,0.29,-0.06,27.50,1.25,-1.00,-1.00,67.69,0.42,0.23,0.15,40.40,0.79,-1.00,-1.00,0.00,-0.06,0.19,0.13,0.18,0.09,5.44,2.89,40.75,0.91,1.47,-1.00,-1.00,-0.20,88.66,82.42,0.13,10.39,1492,,,,,
4590,Greenblitz,Houston,ISRChampionship,4,4.17,-0.03,3.89,3.89,0.39,0.00,23.17,0.39,-1.00,-1.00,7.72,31.23,0.01,15.84,5.15,0.33,0.33,0.20,0.06,21.55,1.43,-1.00,-1.00,74.23,0.46,0.26,0.23,47.54,0.93,-1.00,-1.00,0.06,0.06,0.62,0.03,-0.01,0.06,2.90,1.56,44.72,0.92,1.82,-1.00,-1.00,9.03,107.02,114.03,0.26,7.70,1499,,,,,
3575,Okanogan FFA ,Houston,PNWCentralWashingtonUniversity,3,5.82,0.00,0.31,0.31,0.37,0.00,21.92,0.37,-1.00,-1.00,7.31,28.05,0.32,-1.07,-0.30,0.33,0.34,-0.06,0.00,9.81,0.07,-1.00,-1.00,10.61,-0.07,0.04,0.05,1.10,0.00,-1.00,-1.00,0.00,0.00,0.13,0.26,0.31,0.04,8.40,2.30,31.73,0.61,0.43,-1.00,-1.00,0.01,40.96,40.96,0.12,-28.48,1331,,,,,
6392,Dimension Creator,Houston,Shenzhen,2,3.96,0.07,0.01,0.01,0.05,0.00,3.17,0.05,-1.00,-1.00,1.06,7.14,0.07,0.79,0.34,0.33,0.27,-0.11,0.00,17.58,0.03,-1.00,-1.00,38.25,0.27,-0.13,0.27,20.33,0.38,-1.00,-1.00,-0.03,0.00,-0.17,0.41,0.07,-0.22,0.94,-3.30,20.75,0.49,0.09,-1.00,-1.00,0.34,42.08,41.55,0.18,-4.35,1358,,,,,
2723,Team Rocket,Houston,Dallas,2,5.90,0.00,0.13,0.13,0.22,0.00,13.29,0.22,-1.00,-1.00,4.43,19.32,-0.16,0.11,0.05,0.33,0.41,0.04,0.00,22.50,0.75,-1.00,-1.00,48.65,0.40,0.03,0.10,26.10,0.50,-1.00,-1.00,0.00,0.00,0.29,0.09,0.03,0.21,2.16,5.58,35.79,0.78,0.98,-1.00,-1.00,0.18,73.55,73.55,0.28,52.69,1491,,,,,
2834,Bionic Black Hawks,St. Louis,MIHowell,5,4.14,-0.07,0.17,0.13,0.26,0.00,15.53,0.26,-1.00,-1.00,5.18,19.80,-0.32,2.89,0.80,0.33,0.34,0.18,0.00,23.90,1.15,-1.00,-1.00,69.54,0.20,0.39,0.31,44.83,0.88,-1.00,-1.00,0.00,0.00,0.22,0.18,0.04,0.06,2.17,2.41,39.42,0.86,1.41,-1.00,-1.00,0.94,91.74,92.03,0.39,29.48,1509,,,,,
1025,IMPI Robotics,St. Louis,MISouthfield,1,4.59,0.00,-0.09,-0.09,0.57,0.00,34.27,0.57,-1.00,-1.00,11.42,38.77,0.24,1.77,0.64,0.34,0.32,0.21,0.00,12.17,1.01,-1.00,-1.00,31.54,0.28,-0.10,0.20,18.73,0.35,-1.00,-1.00,0.00,0.00,0.21,0.38,0.15,0.46,4.79,13.30,46.44,0.88,1.58,-1.00,-1.00,0.55,83.61,83.61,0.23,40.84,1543,,,,,
4829,Titanium Tigers,Houston,NCRaleigh,4,5.17,0.00,-0.38,-0.38,-0.05,0.00,-2.79,-0.05,-1.00,-1.00,-0.93,2.01,-0.06,-1.40,-0.46,0.33,0.35,0.06,-0.01,31.53,0.96,-1.00,-1.00,64.30,0.25,0.26,0.15,33.22,0.64,-1.00,-1.00,-0.00,-0.01,0.04,-0.13,0.03,0.75,0.96,18.13,28.74,0.74,0.91,-1.00,-1.00,-0.83,84.44,83.67,0.27,24.28,1420,,,,,
2576,Chilean Heart,Houston,Dallas,2,3.89,0.00,-0.01,-0.01,-0.06,0.00,-3.61,-0.06,-1.00,-1.00,-1.20,0.27,-0.30,-0.32,-0.13,0.33,0.12,0.20,0.00,28.70,1.11,-1.00,-1.00,44.65,-0.08,0.01,0.38,16.08,0.30,-1.00,-1.00,0.00,0.00,0.31,0.14,-0.35,-0.43,-7.10,-10.03,25.08,0.66,1.05,-1.00,-1.00,-0.14,34.89,34.89,0.26,-4.35,1470,,,,,
4546,ShockWave,St. Louis,NEPineTree,5,4.66,0.60,0.71,0.91,0.14,0.00,8.69,0.14,-1.00,-1.00,2.90,14.27,1.27,-1.42,-0.38,0.25,0.26,0.22,-0.02,22.71,1.06,-1.00,-1.00,60.08,0.51,0.00,0.24,37.74,0.73,-1.00,-1.00,0.08,-0.02,0.03,0.03,-0.07,-0.30,-1.48,-7.45,31.40,0.71,1.20,-1.00,-1.00,0.53,66.89,66.66,0.27,15.91,1440,,,,,
4408,The Robo Panthers,St. Louis,MIGullLake,3,3.70,0.00,0.00,0.00,-0.03,0.00,-1.77,-0.03,-1.00,-1.00,-0.59,1.94,0.63,0.14,0.05,0.33,0.33,0.12,-0.02,31.79,1.05,-1.00,-1.00,45.40,-0.06,0.29,0.04,13.57,0.25,-1.00,-1.00,0.00,-0.02,0.07,-0.12,-0.10,0.33,-2.13,7.61,30.02,0.77,1.02,-1.00,-1.00,0.05,54.94,52.90,0.16,-17.52,1348,,,,,
6636,Full Metal Beavers,St. Louis,HudsonValley,4,2.90,-0.09,-0.08,-0.10,0.17,0.00,10.48,0.17,-1.00,-1.00,3.49,13.28,1.22,1.34,0.57,0.33,0.37,-0.16,-0.01,14.08,-0.12,-1.00,-1.00,20.72,0.08,0.02,0.02,6.06,0.10,-1.00,-1.00,0.00,-0.01,0.18,0.12,0.27,0.55,7.55,14.46,24.56,0.53,0.05,-1.00,-1.00,0.48,48.46,47.72,0.01,-53.06,1308,,,,,
3182,Athena's Warriors,St. Louis,NESEMass,2,4.38,0.00,-0.07,-0.07,-0.13,0.00,-7.80,-0.13,-1.00,-1.00,-2.60,-3.49,0.06,2.46,0.83,0.35,0.29,-0.08,-0.01,27.00,0.32,-1.00,-1.00,33.05,0.04,-0.03,0.10,5.22,0.08,-1.00,-1.00,0.00,-0.01,0.01,0.54,0.54,-0.01,13.48,2.54,19.20,0.54,0.19,-1.00,-1.00,0.75,32.09,31.27,0.07,-14.41,1388,,,,,
5406,Celt-X,St. Louis,ONGeorgianCollege,4,3.29,0.00,0.10,0.10,0.32,0.00,19.01,0.32,-1.00,-1.00,6.34,22.41,-0.61,0.84,0.16,0.33,0.38,0.23,-0.01,24.73,1.30,-1.00,-1.00,68.44,0.27,0.33,0.28,43.55,0.85,-1.00,-1.00,0.00,-0.01,0.07,0.11,-0.30,0.27,-7.26,7.36,43.74,0.94,1.62,-1.00,-1.00,0.26,98.21,97.58,0.45,60.19,1596,,,,,
138,Entropy,St. Louis,NEGraniteState,1,4.65,-0.01,-0.12,-0.12,0.30,0.00,17.79,0.30,-1.00,-1.00,5.93,22.32,-0.19,-1.71,-0.56,0.34,0.41,0.20,0.06,28.67,1.66,-1.00,-1.00,47.90,0.19,0.21,-0.00,19.79,0.38,-1.00,-1.00,0.00,0.06,-0.01,-0.02,-0.14,0.13,-3.46,3.18,46.46,1.01,1.96,-1.00,-1.00,-0.68,73.40,79.24,0.41,5.78,1466,,,,,
4121,Vikings,St. Louis,MiamiValley,2,3.57,0.00,-0.21,-0.21,0.20,0.00,12.26,0.20,-1.00,-1.00,4.09,15.61,-0.01,0.97,0.33,0.33,0.41,-0.07,-0.02,17.82,0.18,-1.00,-1.00,32.82,0.16,0.06,0.07,14.67,0.27,-1.00,-1.00,0.00,-0.02,0.28,0.28,0.23,-0.15,7.13,-2.44,30.07,0.65,0.38,-1.00,-1.00,0.12,45.99,43.85,-0.01,-28.66,1465,,,,,
1388,Eagle Robotics,Houston,Sacramento,4,2.12,0.08,-0.87,-0.84,0.11,0.00,6.63,0.11,-1.00,-1.00,2.21,7.91,-0.43,-4.55,-1.65,0.33,0.34,-0.06,0.00,20.01,0.32,-1.00,-1.00,47.18,0.23,0.10,0.25,28.82,0.56,-1.00,-1.00,-0.02,0.00,0.22,0.27,0.05,0.29,2.31,8.50,26.64,0.61,0.43,-1.00,-1.00,-2.49,63.59,63.23,0.10,-18.33,1447,,,,,
3081,RoboEagles,St. Louis,Wisconsin,4,4.20,-0.35,-0.27,-0.38,0.25,0.00,15.28,0.25,-1.00,-1.00,5.09,19.10,-1.22,1.59,0.28,0.33,0.39,0.06,0.07,24.11,1.20,-1.00,-1.00,55.41,0.15,0.22,0.25,31.02,0.60,-1.00,-1.00,0.00,0.07,0.11,0.14,-0.33,0.30,-7.70,8.26,39.39,0.86,1.46,-1.00,-1.00,-0.10,82.77,90.17,0.05,13.04,1474,,,,,
6433,HZ4Z,Houston,Shenzhen,2,3.83,0.09,-0.28,-0.28,0.04,0.00,2.46,0.04,-1.00,-1.00,0.82,6.02,-0.01,-2.49,-0.86,0.33,0.37,-0.03,0.00,25.30,0.58,-1.00,-1.00,25.43,0.05,0.06,-0.09,0.99,0.00,-1.00,-1.00,-0.03,0.00,0.18,1.24,-0.11,-0.07,-1.82,4.52,27.75,0.67,0.62,-1.00,-1.00,-1.14,35.96,35.41,0.21,11.97,1368,,,,,
343,Metal-In-Motion,Houston,RocketCity,4,3.31,0.14,0.97,1.01,0.27,0.00,16.44,0.27,-1.00,-1.00,5.48,20.76,1.78,-5.28,-1.44,0.33,0.41,0.40,0.02,35.64,2.26,-1.00,-1.00,81.34,0.32,0.43,0.20,47.15,0.92,-1.00,-1.00,0.06,0.02,0.02,0.10,0.14,0.23,3.69,6.32,52.08,1.17,2.53,-1.00,-1.00,-0.44,108.42,111.27,0.20,9.76,1517,,,,,
1251,Tech-Tiger Robotics ,Houston,Orlando,2,5.85,-0.07,-0.09,-0.11,0.45,0.00,27.19,0.45,-1.00,-1.00,9.06,32.94,0.43,2.42,0.74,0.33,0.43,0.42,0.02,29.94,2.20,-1.00,-1.00,44.18,-0.07,0.21,0.13,13.49,0.25,-1.00,-1.00,0.00,0.02,0.06,-0.12,0.06,0.03,1.80,0.27,57.14,1.20,2.65,-1.00,-1.00,0.63,77.39,79.07,0.19,5.53,1457,,,,,
496,Royals,St. Louis,SBPLILongIsland,5,5.12,-0.54,-0.05,-0.22,0.18,-0.01,10.57,0.18,-1.00,-1.00,3.52,15.47,-0.00,1.45,0.43,0.33,0.34,-0.02,-0.03,17.97,0.24,-1.00,-1.00,54.37,0.23,0.19,0.30,35.97,0.70,-1.00,-1.00,0.00,-0.03,0.40,0.27,0.01,1.16,2.28,30.33,28.54,0.63,0.41,-1.00,-1.00,0.21,100.17,96.76,0.21,30.26,1439,,,,,
4486,Blue Prints,Houston,OrangeCounty,5,4.83,0.00,-0.24,-0.24,0.08,0.00,4.90,0.08,-1.00,-1.00,1.63,9.50,-0.10,-0.20,-0.05,0.33,0.32,0.44,0.08,43.38,2.77,-1.00,-1.00,83.18,0.29,0.41,0.09,39.85,0.78,-1.00,-1.00,0.00,0.08,-0.06,-0.07,0.06,0.04,1.33,0.66,48.28,1.17,2.85,-1.00,-1.00,-0.29,93.33,101.17,0.34,26.52,1476,,,,,
2040,DERT - Dunlap Eagles Robotics Team,St. Louis,Iowa,4,2.54,0.21,2.36,2.36,0.11,0.00,6.70,0.11,-1.00,-1.00,2.23,11.60,-0.18,0.40,0.06,0.33,0.29,0.27,0.09,34.60,2.18,-1.00,-1.00,81.07,0.39,0.35,0.19,46.41,0.91,-1.00,-1.00,0.00,0.09,0.02,0.02,0.03,-0.20,0.72,-4.93,41.29,0.98,2.29,-1.00,-1.00,2.42,87.74,96.34,0.17,28.13,1482,,,,,
1551,The Grapes of Wrath,St. Louis,Buckeye,5,5.04,-0.33,6.47,6.39,0.34,0.00,20.48,0.34,-1.00,-1.00,6.83,31.91,1.09,-1.92,-0.46,0.33,0.33,0.02,-0.02,12.73,0.26,-1.00,-1.00,57.67,0.29,0.35,0.27,45.40,0.89,-1.00,-1.00,-0.02,-0.02,0.33,0.14,0.02,0.13,2.25,4.03,33.21,0.66,0.61,-1.00,-1.00,5.94,93.62,91.04,0.32,46.80,1459,,,,,
1,The Juggernauts,St. Louis,MIWaterford,3,1.26,0.00,-0.65,-0.65,0.08,0.01,5.34,0.09,-1.00,-1.00,1.78,5.96,0.24,0.37,0.11,0.33,0.34,0.35,-0.03,36.06,1.81,-1.00,-1.00,49.62,0.15,-0.06,0.18,13.45,0.25,-1.00,-1.00,0.00,-0.03,0.05,0.11,-0.12,0.31,-2.86,8.26,41.40,0.99,1.89,-1.00,-1.00,-0.54,63.84,60.75,0.01,-8.05,1442,,,,,
2373,The Crickets,Houston,Oklahoma,4,4.74,0.00,-0.15,-0.15,-0.06,0.00,-3.43,-0.06,-1.00,-1.00,-1.14,1.16,-1.34,0.04,-0.14,0.33,0.38,0.53,0.00,52.07,2.91,-1.00,-1.00,84.70,0.22,0.23,0.21,32.77,0.64,-1.00,-1.00,0.00,0.00,-0.23,-0.02,-0.11,0.32,-3.79,7.94,48.64,1.24,2.86,-1.00,-1.00,-0.29,93.79,93.79,0.31,18.26,1500,,,,,
3265,Arrowheads,Houston,PCHColumbus,3,3.74,-0.31,-0.03,-0.11,-0.06,0.00,-3.60,-0.06,-1.00,-1.00,-1.20,0.04,-0.18,0.03,-0.01,0.33,0.25,0.09,0.00,29.49,0.91,-1.00,-1.00,30.43,-0.16,0.19,-0.01,0.95,0.00,-1.00,-1.00,0.00,0.00,0.11,0.24,0.17,0.37,4.80,10.46,25.90,0.68,0.85,-1.00,-1.00,-0.12,40.92,41.25,0.14,-3.07,1422,,,,,
321,RoboLancers,St. Louis,MARWesttown,2,4.38,-0.01,-0.06,-0.06,0.05,0.00,3.03,0.05,-1.00,-1.00,1.01,7.35,0.07,5.98,1.90,0.33,0.26,0.01,-0.02,21.46,0.40,-1.00,-1.00,40.96,0.08,0.07,0.20,17.60,0.33,-1.00,-1.00,0.00,-0.02,-0.11,0.09,0.26,0.01,5.84,0.75,24.49,0.59,0.45,-1.00,-1.00,1.84,49.06,46.89,-0.03,-14.19,1459,,,,,
3267,Mariner Robotics,St. Louis,NorthernLights,1,-0.33,0.00,1.56,1.56,-0.00,0.00,-0.04,-0.00,-1.00,-1.00,-0.01,1.19,-0.78,8.77,2.60,0.33,0.02,-0.18,-0.01,6.63,-0.73,-1.00,-1.00,22.65,0.19,0.16,-0.09,13.43,0.25,-1.00,-1.00,0.00,-0.01,0.01,-0.09,0.01,0.06,0.20,1.09,6.59,0.16,-0.74,-1.00,-1.00,4.16,24.94,24.12,0.20,-30.50,1431,,,,,
2679,Tiger Team,Houston,ISR4,3,4.33,0.00,-1.25,-1.25,0.25,0.00,15.26,0.25,-1.00,-1.00,5.09,18.34,0.02,1.45,0.52,0.33,0.35,0.22,0.00,25.82,1.31,-1.00,-1.00,69.57,0.34,0.40,0.12,43.24,0.85,-1.00,-1.00,-0.08,0.00,-0.35,0.02,0.05,-0.02,-0.53,-0.29,41.08,0.90,1.56,-1.00,-1.00,-0.73,87.62,85.98,0.20,40.32,1520,,,,,
4,Team 4 ELEMENT,Houston,LosAngeles,4,4.43,0.03,-0.74,-0.73,0.25,0.00,14.77,0.25,-1.00,-1.00,4.92,18.48,0.18,-3.30,-1.06,0.33,0.22,0.46,0.10,34.52,2.73,-1.00,-1.00,70.74,0.34,0.05,0.36,37.28,0.73,-1.00,-1.00,-0.03,0.10,-0.08,0.36,0.10,-0.07,2.10,0.05,49.29,1.11,2.97,-1.00,-1.00,-1.78,89.28,98.43,0.12,-5.92,1448,,,,,
6043,Allegan Tigers Robotics Team,St. Louis,MILakeview,1,3.97,-0.06,0.13,0.11,0.28,0.00,16.83,0.28,-1.00,-1.00,5.61,20.92,-2.94,-0.56,-0.57,0.33,0.41,0.02,0.00,19.35,0.62,-1.00,-1.00,44.69,0.21,0.17,0.13,25.92,0.50,-1.00,-1.00,0.00,0.00,0.15,-0.02,-0.09,0.11,-1.48,2.54,36.18,0.76,0.90,-1.00,-1.00,-0.46,68.15,68.15,0.13,-3.91,1459,,,,,
3940,CyberTooth,St. Louis,INPerryMeridian,4,4.87,0.00,3.79,3.79,0.17,0.00,10.04,0.17,-1.00,-1.00,3.35,18.71,0.06,40.93,13.27,0.33,0.33,0.06,-0.11,17.57,0.05,-1.00,-1.00,74.60,0.32,0.22,0.34,43.77,0.86,-1.00,-1.00,0.00,-0.11,0.02,0.27,0.25,0.07,6.29,3.17,27.61,0.61,0.21,-1.00,-1.00,17.06,96.47,85.08,0.14,-11.03,1460,,,,,
4750,BERT,St. Louis,MARSeneca,4,5.14,0.02,0.81,0.81,0.16,0.00,9.90,0.16,-1.00,-1.00,3.30,15.85,0.40,-1.78,-0.55,0.33,0.35,0.51,0.09,44.84,3.14,-1.00,-1.00,91.63,0.15,0.32,0.47,47.33,0.93,-1.00,-1.00,0.00,0.09,-0.04,-0.01,-0.12,0.11,-3.18,2.77,54.74,1.29,3.31,-1.00,-1.00,0.27,110.25,119.62,0.16,42.49,1515,,,,,
5942,Warriors,Houston,PNWCentralWashingtonUniversity,3,4.96,0.00,-0.16,-0.16,0.21,0.00,12.83,0.21,-1.00,-1.00,4.28,17.63,-0.32,0.36,0.09,0.33,0.36,0.26,0.00,29.67,1.55,-1.00,-1.00,67.30,0.50,0.18,0.07,37.54,0.73,-1.00,-1.00,0.00,0.00,0.06,-0.20,-0.30,0.07,-7.16,0.88,42.50,0.96,1.76,-1.00,-1.00,-0.07,85.81,85.81,0.36,11.78,1503,,,,,
1285,The Big Bang,St. Louis,ONWindsorEssexGreatLakes,5,5.45,-0.10,0.65,0.63,-0.02,0.09,4.49,0.07,-1.00,-1.00,1.50,10.56,0.28,3.83,1.29,0.33,0.34,0.62,0.06,51.02,3.43,-1.00,-1.00,97.30,0.29,0.21,0.40,44.99,0.88,-1.00,-1.00,0.07,0.06,0.10,-0.09,0.04,-0.15,1.60,-4.19,55.51,1.35,3.50,-1.00,-1.00,1.91,103.67,110.99,0.47,32.70,1549,,,,,
6765,Columbus City Schools,St. Louis,MiamiValley,2,5.83,0.00,0.31,0.31,0.22,0.00,13.02,0.22,-1.00,-1.00,4.34,19.17,-0.01,-0.01,-0.01,0.33,0.31,0.04,-0.00,18.49,0.54,-1.00,-1.00,28.43,0.20,0.03,-0.03,9.95,0.18,-1.00,-1.00,0.00,-0.00,0.05,0.24,-0.08,0.15,-1.85,4.97,31.51,0.68,0.76,-1.00,-1.00,0.30,52.57,52.29,0.02,-24.48,1322,,,,,
5765,ToroBots,Houston,LosAngeles,4,3.69,0.01,0.69,0.70,0.13,0.00,7.70,0.13,-1.00,-1.00,2.57,12.09,-1.21,7.85,2.45,0.33,0.30,0.13,-0.01,24.91,0.88,-1.00,-1.00,44.89,0.11,-0.12,0.36,17.53,0.33,-1.00,-1.00,0.12,-0.01,0.11,0.05,-0.13,-0.01,-2.69,-0.05,32.62,0.75,1.01,-1.00,-1.00,3.15,56.93,58.04,0.39,9.85,1417,,,,,
1665,Weapons of Mass Construction,St. Louis,NewYorkTechValley,3,4.67,-0.00,0.40,0.40,0.06,0.00,3.39,0.06,-1.00,-1.00,1.13,8.45,-0.48,-1.15,-0.48,0.33,0.37,-0.01,-0.04,23.68,0.38,-1.00,-1.00,56.19,0.43,-0.06,0.29,32.99,0.64,-1.00,-1.00,0.00,-0.04,-0.18,0.29,-0.14,0.03,-4.30,2.32,27.07,0.65,0.44,-1.00,-1.00,-0.08,66.96,63.02,0.03,3.48,1451,,,,,
1977,Loveland High Robotics PowerSquids,Houston,Colorado,4,4.76,0.26,-0.25,-0.17,0.22,0.00,13.00,0.22,-1.00,-1.00,4.33,17.60,0.95,0.78,0.39,0.33,0.16,0.06,-0.01,12.94,0.36,-1.00,-1.00,23.25,0.17,-0.06,0.09,9.93,0.18,-1.00,-1.00,0.02,-0.01,0.51,0.00,0.40,0.12,12.57,2.98,25.94,0.54,0.57,-1.00,-1.00,0.22,43.83,43.15,0.13,-58.29,1348,,,,,
3684,Electric Eagles,Houston,PNWAuburn,5,5.27,-0.01,0.35,0.35,-0.08,0.00,-4.69,-0.08,-1.00,-1.00,-1.56,0.93,-0.13,5.88,1.92,0.33,0.34,0.21,0.10,42.38,2.19,-1.00,-1.00,65.96,0.12,0.00,0.32,21.67,0.42,-1.00,-1.00,-0.02,0.10,0.07,0.07,0.57,0.03,14.56,1.19,37.69,0.98,2.11,-1.00,-1.00,2.27,68.09,77.67,0.02,-50.20,1355,,,,,
5248,Robo-Saxons,St. Louis,MIGullLake,3,4.60,0.00,-0.01,-0.01,0.33,0.00,19.88,0.33,-1.00,-1.00,6.63,24.47,0.78,-0.26,0.03,0.33,0.33,0.41,-0.03,28.64,1.81,-1.00,-1.00,72.34,0.43,0.09,0.35,43.68,0.86,-1.00,-1.00,0.00,-0.03,-0.13,0.28,-0.06,-0.07,-2.17,-0.38,48.52,1.05,2.14,-1.00,-1.00,0.01,96.43,93.72,0.21,14.56,1431,,,,,
4786,Nicolet FEAR,St. Louis,Wisconsin,4,2.97,0.91,-0.13,0.17,0.32,0.00,18.96,0.32,-1.00,-1.00,6.32,22.09,1.77,-2.82,-0.66,0.33,0.35,0.23,0.16,30.20,2.27,-1.00,-1.00,51.20,0.28,0.04,0.12,21.66,0.42,-1.00,-1.00,0.00,0.16,0.03,0.07,0.49,0.21,12.49,5.51,49.16,1.07,2.59,-1.00,-1.00,-0.49,78.80,95.06,0.20,-17.15,1400,,,,,
4841,Optimal Robotics,Houston,ArizonaNorth,2,3.66,0.00,-0.09,-0.09,-0.10,0.00,-5.73,-0.10,-1.00,-1.00,-1.91,-2.16,-2.54,-0.43,-0.35,0.33,0.24,-0.08,0.00,23.50,0.25,-1.00,-1.00,46.69,-0.03,0.12,0.38,23.54,0.45,-1.00,-1.00,0.00,0.00,0.11,0.00,0.28,-0.13,7.46,-3.27,17.77,0.49,0.16,-1.00,-1.00,-0.44,41.26,41.26,-0.03,-36.79,1370,,,,,
3163,ROARBOTS,Houston,Oklahoma,4,3.59,0.00,-0.42,-0.42,-0.02,0.00,-1.33,-0.02,-1.00,-1.00,-0.44,1.83,13.64,-0.13,1.10,0.33,0.34,0.02,0.00,28.48,0.76,-1.00,-1.00,67.88,0.21,0.34,0.21,38.30,0.75,-1.00,-1.00,0.00,0.00,-0.09,0.24,0.12,0.20,2.54,6.28,27.15,0.69,0.74,-1.00,-1.00,0.68,75.99,75.99,0.09,2.31,1457,,,,,
2451,PWNAGE,St. Louis,MiamiValley,2,5.18,0.00,2.75,2.75,0.03,0.00,1.85,0.03,-1.00,-1.00,0.62,9.78,-0.00,0.01,-0.06,0.33,0.39,0.23,-0.04,35.66,1.46,-1.00,-1.00,66.40,0.42,-0.06,0.25,30.80,0.60,-1.00,-1.00,0.00,-0.04,0.01,0.01,-0.13,-0.05,-3.13,-1.26,37.51,0.92,1.49,-1.00,-1.00,2.69,74.91,71.36,0.18,11.87,1549,,,,,
