,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
3929,Atomic Dragons,St. Louis,MARHatboroHorsham,1,4.44,0.00,-0.14,-0.14,0.33,0.00,19.64,0.33,-1.00,-1.00,6.55,23.93,-0.45,-0.76,-0.29,0.33,0.40,0.10,0.00,20.24,0.87,-1.00,-1.00,41.96,0.13,0.20,0.12,22.01,-1.00,-1.00,-1.00,0.00,0.00,0.12,-0.04,0.17,0.00,4.95,-0.17,39.87,0.83,1.20,-1.00,-1.00,-0.44,65.72,65.72,-0.06,-24.09,1456,,,,,
2234,Alternating Current,St. Louis,MARHatboroHorsham,1,5.21,0.00,0.05,0.05,0.13,0.00,7.67,0.13,-1.00,-1.00,2.56,12.93,-0.51,4.89,1.47,0.33,0.09,-0.02,0.00,11.11,0.09,-1.00,-1.00,34.46,0.16,0.07,0.21,21.88,-1.00,-1.00,-1.00,0.00,0.00,0.30,0.26,-0.29,0.27,-5.65,8.09,18.78,0.41,0.22,-1.00,-1.00,1.52,55.48,55.48,-0.02,-6.44,1466,,,,,
4910,East Cobb Robotics,Houston,PCHGainesville,1,4.84,0.00,-0.05,-0.05,0.17,0.00,10.15,0.17,-1.00,-1.00,3.38,14.93,-0.08,-0.21,-0.05,0.35,0.50,0.14,0.00,32.77,1.42,-1.00,-1.00,53.83,0.20,0.28,-0.05,21.12,-1.00,-1.00,-1.00,0.00,0.00,-0.18,0.03,-0.10,-0.00,-3.37,0.07,42.92,0.99,1.58,-1.00,-1.00,-0.11,68.84,68.84,0.13,15.15,1482,,,,,
6705,Dunwoody WildCat 5e,Houston,PCHGainesville,1,2.67,0.00,-0.04,-0.04,0.09,0.00,5.26,0.09,-1.00,-1.00,1.75,7.89,0.14,-0.63,-0.15,0.36,0.37,0.19,0.00,33.41,1.45,-1.00,-1.00,53.83,0.19,-0.08,0.30,20.57,-1.00,-1.00,-1.00,0.00,0.00,-0.17,0.17,-0.05,-0.09,-2.14,-1.35,38.67,0.92,1.54,-1.00,-1.00,-0.19,60.36,60.36,0.38,27.50,1433,,,,,
2607,The Fighting RoboVikings,St. Louis,MARHatboroHorsham,1,4.76,0.00,0.16,0.16,0.21,0.00,12.65,0.21,-1.00,-1.00,4.22,17.56,0.10,-2.26,-0.69,0.33,0.38,0.23,0.00,29.21,1.46,-1.00,-1.00,49.06,0.10,-0.03,0.34,20.55,-1.00,-1.00,-1.00,0.00,0.00,-0.04,0.09,-0.23,0.21,-5.94,5.62,41.85,0.94,1.67,-1.00,-1.00,-0.53,72.25,72.25,0.32,35.94,1582,,,,,
5684,Iron Mechs,St. Louis,MARHatboroHorsham,1,4.19,0.00,0.03,0.03,0.39,0.00,23.59,0.39,-1.00,-1.00,7.86,27.81,-0.35,4.14,1.28,0.33,0.45,0.51,0.00,36.03,2.54,-1.00,-1.00,56.30,0.18,0.27,-0.07,19.00,-1.00,-1.00,-1.00,0.00,0.00,-0.12,-0.04,0.59,0.05,14.10,1.08,59.62,1.29,2.93,-1.00,-1.00,1.31,85.20,85.20,0.32,20.53,1515,,,,,
5181,La Salle Robotics,St. Louis,MARHatboroHorsham,1,6.23,0.00,-0.03,-0.03,0.00,0.00,0.06,0.00,-1.00,-1.00,0.02,6.26,0.37,-1.23,-0.40,0.33,0.34,-0.08,0.00,23.65,0.36,-1.00,-1.00,42.15,0.03,0.22,0.13,18.90,-1.00,-1.00,-1.00,0.00,0.00,0.39,-0.13,-0.17,0.24,-2.35,5.21,23.71,0.59,0.36,-1.00,-1.00,-0.43,53.62,53.62,0.09,12.51,1501,,,,,
5132,RoboClovers,Houston,PCHGainesville,1,5.10,0.00,-0.04,-0.04,0.18,0.00,10.73,0.18,-1.00,-1.00,3.58,15.80,0.38,3.05,0.92,0.33,0.18,-0.12,0.00,8.43,-0.30,-1.00,-1.00,26.94,-0.07,0.13,0.29,17.58,-1.00,-1.00,-1.00,0.00,0.00,0.13,0.03,-0.10,0.21,-1.86,5.28,19.17,0.39,-0.13,-1.00,-1.00,0.89,48.02,48.02,0.30,20.27,1485,,,,,
5490,The Dark Byte,St. Louis,MARHatboroHorsham,1,3.85,0.00,-0.21,-0.21,-0.03,0.00,-1.95,-0.03,-1.00,-1.00,-0.65,1.69,3.88,1.09,0.36,0.33,-0.01,-0.28,0.00,2.85,-1.15,-1.00,-1.00,18.20,0.06,0.02,0.22,14.99,-1.00,-1.00,-1.00,0.00,0.00,-0.17,0.06,0.41,-0.05,9.36,-1.03,0.90,0.04,-1.18,-1.00,-1.00,0.15,18.86,18.86,-0.10,-68.55,1354,,,,,
4285,Camo-Bots,St. Louis,MARHatboroHorsham,1,4.50,0.00,-0.06,-0.06,0.07,0.00,4.25,0.07,-1.00,-1.00,1.42,8.69,-0.68,-1.35,-0.45,0.33,0.30,0.30,0.00,34.67,1.74,-1.00,-1.00,48.83,0.31,-0.04,0.02,14.61,-1.00,-1.00,-1.00,0.00,0.00,-0.05,0.04,-0.26,0.03,-6.83,0.99,38.92,0.94,1.81,-1.00,-1.00,-0.51,58.50,58.50,0.17,16.10,1465,,,,,
