MARChampionship,mrcmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
555,Montclair Robotics,3,5.11,-0.34,0.87,0.78,0.12,0.00,7.24,0.12,-1.00,-1.00,2.41,13.14,-0.01,3.54,1.21,0.33,0.35,0.24,0.05,33.84,1.82,-1.00,-1.00,82.20,0.20,0.29,0.45,47.15,0.79,-1.00,-1.00,0.08,0.05,-0.05,-0.09,0.14,0.12,3.28,2.58,41.08,0.97,1.94,-1.00,-1.00,1.99,97.91,104.54,0.33,26.96,1496,,,,,
708,Hatters Robotics,3,5.46,0.18,0.02,0.05,0.24,0.00,14.28,0.24,-1.00,-1.00,4.76,19.79,0.58,22.17,7.25,0.33,0.33,0.13,0.07,24.87,1.34,-1.00,-1.00,77.21,0.12,0.35,0.43,45.09,0.73,-1.00,-1.00,0.00,0.07,0.13,0.38,-0.04,0.25,-0.27,8.05,39.15,0.86,1.57,-1.00,-1.00,7.30,105.04,111.81,0.33,34.05,1550,,,,,
747,Flight Crew,3,4.60,-0.42,0.79,0.66,0.34,0.00,20.22,0.34,-1.00,-1.00,6.74,25.48,0.08,11.34,3.64,0.33,0.29,0.15,-0.02,16.78,0.73,-1.00,-1.00,63.58,0.36,0.50,0.00,43.16,0.89,-1.00,-1.00,0.00,-0.02,0.13,0.26,-0.03,0.21,-0.15,6.49,37.01,0.76,1.07,-1.00,-1.00,4.29,95.54,93.75,0.33,37.55,1521,,,,,
834,SparTechs,3,4.42,-0.31,-0.06,-0.21,0.28,0.00,16.80,0.28,-1.00,-1.00,5.60,21.01,3.48,-0.17,0.26,0.33,0.42,0.68,0.01,46.67,3.35,-1.00,-1.00,79.51,0.15,0.15,0.35,32.58,1.00,-1.00,-1.00,0.00,0.01,-0.10,0.12,0.29,0.09,6.79,2.74,63.47,1.45,3.63,-1.00,-1.00,0.05,103.26,104.35,0.24,18.18,1567,,,,,
1218,Vulcan Robotics,3,5.56,-0.13,0.30,0.26,0.09,0.00,5.52,0.09,-1.00,-1.00,1.84,11.34,-1.34,3.46,0.93,0.33,0.25,-0.03,-0.01,17.83,0.20,-1.00,-1.00,58.83,0.40,0.21,0.19,40.07,0.73,-1.00,-1.00,0.00,-0.01,0.09,-0.09,0.15,0.14,4.33,3.11,23.35,0.54,0.29,-1.00,-1.00,1.19,73.29,71.88,0.18,-2.44,1510,,,,,
1257,Parallel Universe,3,4.95,-0.52,0.40,0.26,0.07,0.00,3.95,0.07,-1.00,-1.00,1.32,9.16,0.15,-0.15,0.04,0.33,0.36,0.44,-0.00,42.50,2.40,-1.00,-1.00,88.74,0.15,0.45,0.33,46.21,0.86,-1.00,-1.00,0.00,-0.00,0.08,0.10,0.01,0.16,0.54,4.58,46.45,1.13,2.47,-1.00,-1.00,0.29,102.48,102.30,0.29,34.55,1521,,,,,
1279,Cold Fusion,3,4.94,0.99,-0.36,-0.09,0.20,0.00,12.00,0.20,-1.00,-1.00,4.00,16.85,0.07,-2.04,-0.67,0.33,0.34,0.53,0.07,43.03,3.04,-1.00,-1.00,81.59,0.36,0.06,0.36,39.22,0.88,-1.00,-1.00,-0.00,0.07,0.17,-0.09,0.14,0.56,4.35,13.44,55.03,1.28,3.24,-1.00,-1.00,-0.75,111.88,119.33,0.45,46.38,1592,,,,,
1370,Thermogenesis,3,3.40,0.05,0.59,0.59,0.13,0.00,7.81,0.13,-1.00,-1.00,2.60,11.80,-1.37,0.60,-0.12,0.33,0.22,-0.05,-0.01,14.44,0.03,-1.00,-1.00,71.51,0.31,0.41,0.42,57.19,0.88,-1.00,-1.00,0.00,-0.01,-0.10,0.05,-0.21,0.13,-5.86,3.52,22.25,0.49,0.16,-1.00,-1.00,0.47,86.83,85.62,0.44,57.22,1501,,,,,
1391,The METAL MOOSE,3,4.63,-0.25,1.28,1.23,0.12,0.00,7.29,0.12,-1.00,-1.00,2.43,13.15,0.09,-0.76,-0.45,0.33,0.34,0.52,0.21,51.41,3.93,-1.00,-1.00,79.14,0.06,0.26,0.24,28.18,0.72,-1.00,-1.00,-0.00,0.21,0.03,-0.04,0.32,0.10,8.07,2.31,58.71,1.41,4.05,-1.00,-1.00,0.78,94.60,115.99,0.28,4.59,1566,,,,,
1403,Cougar Robotics,3,3.85,0.08,-0.45,-0.43,0.20,0.00,11.70,0.20,-1.00,-1.00,3.90,15.11,-0.01,-0.35,-0.06,0.33,0.35,0.26,0.06,32.52,1.93,-1.00,-1.00,63.71,0.27,0.07,0.28,31.25,0.73,-1.00,-1.00,-0.02,0.06,0.03,0.13,0.02,0.44,0.67,11.55,44.22,1.01,2.12,-1.00,-1.00,-0.49,90.37,96.17,0.17,3.09,1470,,,,,
1495,Red Devils,3,4.48,0.00,0.78,0.78,-0.05,0.00,-3.17,-0.05,-1.00,-1.00,-1.06,2.09,-0.07,0.63,0.16,0.33,0.35,0.23,-0.00,38.36,1.65,-1.00,-1.00,80.66,0.09,0.33,0.42,42.14,0.79,-1.00,-1.00,-0.05,-0.00,-0.10,0.04,-0.11,-0.23,-3.16,-5.57,35.19,0.91,1.59,-1.00,-1.00,0.94,77.19,75.99,0.16,1.94,1509,,,,,
1640,Sab-BOT-age,3,4.85,0.03,2.69,2.70,-0.05,0.00,-3.02,-0.05,-1.00,-1.00,-1.01,4.53,1.01,-0.22,-0.06,0.33,0.34,0.48,0.08,51.32,3.12,-1.00,-1.00,89.05,0.12,0.40,0.23,37.79,0.82,-1.00,-1.00,0.00,0.08,0.31,0.26,0.08,0.41,3.44,11.49,48.30,1.23,3.07,-1.00,-1.00,2.64,105.07,112.60,0.24,11.20,1524,,,,,
1676,The Pascack PI-oneers,3,5.13,0.31,-0.20,-0.14,0.46,0.00,27.50,0.46,-1.00,-1.00,9.17,32.50,-0.05,0.13,0.07,0.33,0.33,0.30,0.22,28.99,2.71,-1.00,-1.00,56.77,0.20,0.28,0.08,27.72,0.82,-1.00,-1.00,-0.00,0.22,0.19,0.05,-0.10,-0.06,-1.66,-1.17,56.49,1.18,3.16,-1.00,-1.00,-0.07,88.09,109.72,0.15,12.39,1533,,,,,
1712,Dawgma,3,4.85,-0.00,-0.21,-0.21,0.38,0.00,22.98,0.38,-1.00,-1.00,7.66,27.63,0.52,2.31,0.79,0.33,0.34,0.02,-0.02,11.59,0.26,-1.00,-1.00,44.56,0.22,0.24,0.18,32.18,0.64,-1.00,-1.00,0.00,-0.02,0.32,-0.20,0.12,0.10,4.48,1.48,34.57,0.67,0.64,-1.00,-1.00,0.59,73.67,71.54,0.08,-18.48,1490,,,,,
