ArizonaWest,azpx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
4496,Sonoran Storm Robotics,2,2.27,-0.32,-0.73,-0.73,-0.10,0.00,-5.88,-0.10,-1.00,-1.00,-1.96,-2.26,-1.47,-3.16,-1.04,0.30,0.14,-0.10,-0.02,13.13,-0.02,-1.00,-1.00,19.39,-0.08,-0.08,-0.08,-0.69,-1.00,-1.00,-1.00,-0.01,-0.02,0.33,-0.16,0.38,-0.19,9.96,-4.51,17.61,0.43,0.04,-1.00,-1.00,-1.32,27.79,27.55,-0.04,-36.48,1399,,,,,
4565,Coyotes,3,6.50,-0.01,-0.04,-0.04,0.35,0.00,21.08,0.35,-1.00,-1.00,7.03,27.54,-0.13,-0.64,-0.27,0.33,0.45,0.41,0.00,33.52,2.18,-1.00,-1.00,70.88,0.42,0.02,0.31,37.63,0.69,-1.00,-1.00,0.00,0.00,0.22,0.02,-0.10,-0.04,-1.25,-0.95,54.60,1.19,2.53,-1.00,-1.00,-0.31,97.47,97.47,0.38,49.49,1514,,,,,
4841,Optimal Robotics,3,3.66,0.00,-0.09,-0.09,-0.10,0.00,-5.73,-0.10,-1.00,-1.00,-1.91,-2.16,-2.54,-0.43,-0.35,0.33,0.24,-0.08,0.00,23.50,0.25,-1.00,-1.00,46.69,-0.03,0.12,0.38,23.54,0.45,-1.00,-1.00,0.00,0.00,0.11,0.00,0.28,-0.13,7.46,-3.27,17.77,0.49,0.16,-1.00,-1.00,-0.44,41.26,41.26,-0.03,-36.79,1370,,,,,
5101,Braves,2,3.11,-0.14,-0.27,-0.26,-0.00,0.00,-0.10,-0.00,-1.00,-1.00,-0.03,3.74,-0.53,-0.95,-0.31,0.31,0.22,-0.01,-0.01,19.08,0.42,-1.00,-1.00,31.63,0.02,0.02,0.02,9.04,-1.00,-1.00,-1.00,-0.01,-0.01,0.20,-0.03,0.23,-0.04,6.18,-0.74,23.93,0.57,0.49,-1.00,-1.00,-0.36,41.89,41.83,0.07,-17.45,1395,,,,,
5200,Alchesay Falcon,2,2.88,-0.19,-0.39,-0.39,-0.03,0.00,-1.70,-0.03,-1.00,-1.00,-0.57,2.08,-0.79,-1.56,-0.51,0.31,0.20,-0.03,-0.01,17.43,0.30,-1.00,-1.00,28.24,-0.00,-0.00,-0.01,6.35,-1.00,-1.00,-1.00,-0.01,-0.01,0.24,-0.07,0.27,-0.09,7.23,-1.78,22.18,0.53,0.37,-1.00,-1.00,-0.63,37.99,37.88,0.04,-22.72,1397,,,,,
5465,Binary Bots,2,4.23,0.11,0.35,0.36,0.13,0.00,7.65,0.13,-1.00,-1.00,2.55,11.79,0.73,2.00,0.66,0.34,0.32,0.12,0.01,27.04,1.00,-1.00,-1.00,48.01,0.17,0.17,0.16,22.07,-1.00,-1.00,-1.00,0.00,0.01,0.03,0.14,0.03,0.15,1.13,4.32,32.41,0.76,1.10,-1.00,-1.00,0.92,60.78,60.97,0.21,8.03,1451,,,,,
6314,Desert Mountain Robotics,3,3.95,-0.01,-0.36,-0.36,-0.02,0.00,-1.50,-0.02,-1.00,-1.00,-0.50,2.09,0.15,-0.96,-0.30,0.33,0.35,0.13,0.00,33.68,1.26,-1.00,-1.00,82.08,0.21,0.28,0.49,48.70,0.93,-1.00,-1.00,0.00,0.00,0.11,-0.06,0.04,0.08,1.44,1.64,32.18,0.82,1.23,-1.00,-1.00,-0.66,85.80,85.80,0.36,49.48,1480,,,,,
6352,LAUNCH TEAM,1,3.68,0.02,0.06,0.06,0.04,0.00,2.68,0.04,-1.00,-1.00,0.89,6.43,0.08,0.15,0.05,0.33,0.24,0.04,-0.00,22.44,0.58,-1.00,-1.00,33.03,0.10,0.04,0.07,10.54,-1.00,-1.00,-1.00,-0.00,-0.00,0.11,0.06,0.15,0.06,4.17,1.88,25.12,0.61,0.62,-1.00,-1.00,0.11,41.34,41.00,0.10,-14.15,1350,,,,,
6372,Chi-squared Robotics,1,3.68,0.02,0.06,0.06,0.04,0.00,2.68,0.04,-1.00,-1.00,0.89,6.43,0.08,0.15,0.05,0.33,0.24,0.04,-0.00,22.44,0.58,-1.00,-1.00,33.03,0.10,0.04,0.07,10.54,-1.00,-1.00,-1.00,-0.00,-0.00,0.11,0.06,0.15,0.06,4.17,1.88,25.12,0.61,0.62,-1.00,-1.00,0.11,41.34,41.00,0.10,-14.15,1350,,,,,
6413,Degrees of Freedom,3,4.69,-0.00,-0.05,-0.05,0.07,0.00,3.97,0.07,-1.00,-1.00,1.32,8.61,-0.56,0.38,0.14,0.33,0.38,0.22,0.00,34.73,1.57,-1.00,-1.00,50.98,0.20,0.09,0.03,16.11,0.15,-1.00,-1.00,0.00,0.00,-0.16,0.04,0.11,0.16,2.07,4.18,38.69,0.93,1.64,-1.00,-1.00,0.09,63.76,63.76,0.45,26.92,1413,,,,,
