INStateChampionship,incmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
3940,CyberTooth,3,4.87,0.00,3.79,3.79,0.17,0.00,10.04,0.17,-1.00,-1.00,3.35,18.71,0.06,40.93,13.27,0.33,0.33,0.06,-0.11,17.57,0.05,-1.00,-1.00,74.60,0.32,0.22,0.34,43.77,0.86,-1.00,-1.00,0.00,-0.11,0.02,0.27,0.25,0.07,6.29,3.17,27.61,0.61,0.21,-1.00,-1.00,17.06,96.47,85.08,0.14,-11.03,1460,,,,,
4103,Roborioles,3,4.66,0.00,0.18,0.18,0.40,0.00,24.02,0.40,-1.00,-1.00,8.01,28.85,0.08,-0.38,-0.16,0.33,0.33,0.43,-0.01,27.34,1.93,-1.00,-1.00,69.36,0.21,0.16,0.47,42.18,0.87,-1.00,-1.00,0.00,-0.01,-0.04,0.25,-0.10,-0.07,-2.67,-0.52,51.36,1.08,2.33,-1.00,-1.00,0.02,97.69,96.98,0.22,25.24,1541,,,,,
4272,Maverick Boiler Robotics,3,5.12,0.00,-0.33,-0.33,0.51,0.00,30.86,0.51,-1.00,-1.00,10.29,35.65,-0.03,2.04,0.64,0.33,0.26,0.31,0.20,23.60,2.54,-1.00,-1.00,40.32,0.23,-0.01,0.11,16.08,0.53,-1.00,-1.00,0.00,0.20,0.08,-0.08,0.04,0.28,1.52,6.71,54.46,1.10,3.06,-1.00,-1.00,0.31,82.69,102.88,0.21,-23.38,1481,,,,,
4485,Tribe Tech Robotics,3,5.03,0.00,0.20,0.20,0.21,0.00,12.54,0.21,-1.00,-1.00,4.18,17.78,-0.02,-3.80,-1.30,0.33,0.35,0.34,0.17,39.32,2.85,-1.00,-1.00,64.47,0.14,0.15,0.24,26.45,0.71,-1.00,-1.00,0.00,0.17,-0.13,0.10,0.17,0.32,3.49,8.39,51.86,1.19,3.06,-1.00,-1.00,-1.10,90.64,107.43,-0.03,-34.38,1442,,,,,
4580,Conductors,3,5.42,0.00,-0.99,-0.99,0.32,0.00,18.91,0.32,-1.00,-1.00,6.30,23.33,-0.09,9.23,2.84,0.33,0.36,-0.02,0.00,14.51,0.34,-1.00,-1.00,47.94,0.10,0.23,0.28,30.60,0.53,-1.00,-1.00,0.00,0.00,0.06,0.04,0.01,0.08,0.54,2.09,33.41,0.68,0.65,-1.00,-1.00,1.85,73.36,73.36,0.09,17.76,1451,,,,,
4926,GalacTech,3,4.92,0.00,-0.15,-0.15,0.17,0.00,10.37,0.17,-1.00,-1.00,3.46,15.14,-0.01,-0.65,-0.23,0.33,0.26,0.24,0.08,29.48,1.77,-1.00,-1.00,91.06,0.36,0.40,0.47,61.81,0.87,-1.00,-1.00,0.00,0.08,-0.16,-0.18,0.33,-0.13,7.47,-4.06,39.85,0.91,1.94,-1.00,-1.00,-0.38,102.14,110.10,0.19,16.89,1540,,,,,
4982,Olympus Robotics,3,3.90,0.00,0.37,0.37,0.25,0.00,14.85,0.25,-1.00,-1.00,4.95,19.12,1.41,0.67,0.34,0.33,0.36,0.32,0.00,30.51,1.75,-1.00,-1.00,68.35,0.27,0.22,0.25,37.50,0.60,-1.00,-1.00,0.00,0.00,0.21,0.09,0.04,0.16,1.99,4.40,45.36,1.01,2.00,-1.00,-1.00,0.71,91.87,91.87,0.35,18.65,1514,,,,,
5188,Area 5188 : Classified Robotics,3,4.69,0.00,0.57,0.57,0.10,0.00,5.83,0.10,-1.00,-1.00,1.94,11.09,-0.02,1.75,0.68,0.33,0.34,0.47,0.15,48.14,3.39,-1.00,-1.00,106.77,0.19,0.38,0.59,57.95,0.80,-1.00,-1.00,0.00,0.15,-0.03,0.02,0.10,0.05,2.41,1.31,53.96,1.30,3.49,-1.00,-1.00,1.25,119.17,134.52,0.22,34.04,1512,,,,,
5484,Career Academy Robotics - Memento Vitam,3,4.82,0.00,0.01,0.01,0.22,0.00,13.25,0.22,-1.00,-1.00,4.42,18.09,0.09,-0.60,-0.21,0.33,0.35,0.29,-0.06,27.50,1.25,-1.00,-1.00,67.69,0.42,0.23,0.15,40.40,0.79,-1.00,-1.00,0.00,-0.06,0.19,0.13,0.18,0.09,5.44,2.89,40.75,0.91,1.47,-1.00,-1.00,-0.20,88.66,82.42,0.13,10.39,1492,,,,,
6451,Whiteland Community High School Robotics Team,3,5.05,0.00,-0.19,-0.19,0.20,0.00,11.71,0.20,-1.00,-1.00,3.90,16.58,0.18,15.59,4.96,0.33,0.35,0.27,-0.08,26.86,1.08,-1.00,-1.00,78.03,0.48,0.25,0.20,46.21,0.67,-1.00,-1.00,0.00,-0.08,-0.01,0.08,0.14,-0.09,3.33,-1.73,38.57,0.87,1.27,-1.00,-1.00,4.78,92.88,84.89,0.17,8.12,1438,,,,,
