CHSChampionship,chcmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
1598,TeamTalon,3,5.55,0.17,0.12,0.23,0.22,0.00,13.22,0.22,-1.00,-1.00,4.41,18.99,-0.89,-3.65,-1.28,0.33,0.34,0.31,-0.01,30.07,1.63,-1.00,-1.00,89.74,0.24,0.59,0.39,60.95,0.95,-1.00,-1.00,0.00,-0.01,0.20,-0.06,-0.07,0.02,-0.84,0.10,43.28,0.97,1.85,-1.00,-1.00,-1.05,108.83,107.67,0.36,23.57,1532,,,,,
1599,CircuiTree,3,4.63,-0.55,-0.11,-0.25,0.10,0.00,6.14,0.10,-1.00,-1.00,2.05,10.52,-0.51,-1.88,-0.72,0.33,0.37,0.15,0.07,33.17,1.67,-1.00,-1.00,88.61,0.38,0.37,0.38,56.16,0.89,-1.00,-1.00,0.00,0.07,-0.13,-0.12,-0.09,-0.01,-2.84,-0.94,39.31,0.93,1.77,-1.00,-1.00,-0.97,98.19,105.47,0.19,7.67,1463,,,,,
1610,Blackwater Robotics,3,4.80,-0.06,-0.03,-0.04,0.38,0.00,22.81,0.38,-1.00,-1.00,7.60,27.56,0.34,-0.07,0.03,0.33,0.36,0.40,0.00,28.70,1.93,-1.00,-1.00,64.63,0.28,0.35,0.09,35.89,0.83,-1.00,-1.00,0.00,0.00,0.09,0.09,-0.04,0.25,-0.60,6.76,51.50,1.10,2.31,-1.00,-1.00,-0.01,98.95,98.95,0.36,56.04,1562,,,,,
1629,Garrett Coalition (GaCo),3,5.26,0.00,-0.04,-0.04,0.44,0.00,26.51,0.44,-1.00,-1.00,8.84,31.73,0.59,0.03,-0.02,0.33,0.36,0.42,0.08,30.33,2.47,-1.00,-1.00,68.66,0.07,0.36,0.33,38.35,0.64,-1.00,-1.00,0.00,0.08,-0.13,0.32,0.17,-0.18,3.54,-2.92,56.84,1.20,2.91,-1.00,-1.00,-0.06,97.47,105.72,0.21,20.49,1524,,,,,
1731,Fresta Valley Robotics Club,3,4.46,0.25,0.11,0.17,0.04,0.00,2.61,0.04,-1.00,-1.00,0.87,7.24,-0.76,-2.54,-0.94,0.33,0.37,0.25,0.07,39.33,2.10,-1.00,-1.00,93.19,0.15,0.41,0.54,54.80,0.94,-1.00,-1.00,0.00,0.07,0.02,0.20,0.07,0.21,1.94,6.16,41.94,1.03,2.15,-1.00,-1.00,-0.78,106.59,113.25,0.27,12.32,1537,,,,,
1793,The Pilots,3,4.44,0.37,-0.19,-0.10,0.24,0.00,14.49,0.24,-1.00,-1.00,4.83,18.82,0.26,-2.99,-0.92,0.33,0.36,-0.05,0.00,15.94,0.27,-1.00,-1.00,53.66,0.19,0.39,0.19,38.64,0.76,-1.00,-1.00,0.00,0.00,0.22,0.05,0.36,-0.00,10.05,0.26,30.43,0.64,0.51,-1.00,-1.00,-1.02,72.74,72.78,0.38,25.95,1434,,,,,
1885,ILITE Robotics,3,5.44,0.44,-0.02,0.10,0.33,0.00,20.03,0.33,-1.00,-1.00,6.68,25.56,0.43,-0.55,-0.09,0.33,0.35,0.54,0.06,37.86,2.85,-1.00,-1.00,100.70,0.52,0.41,0.33,62.93,0.90,-1.00,-1.00,0.00,0.06,-0.08,-0.03,-0.11,-0.16,-3.14,-4.20,57.89,1.28,3.18,-1.00,-1.00,0.01,122.07,127.91,0.52,64.38,1667,,,,,
1895,Lambda Corps,3,3.67,0.16,0.05,0.05,-0.07,0.00,-4.30,-0.07,-1.00,-1.00,-1.43,-0.58,-0.59,-0.12,-0.06,0.33,0.39,0.28,-0.02,42.19,1.86,-1.00,-1.00,86.97,0.20,0.40,0.30,44.83,0.75,-1.00,-1.00,0.00,-0.02,0.05,0.10,-0.14,0.05,-3.23,1.85,37.90,0.98,1.78,-1.00,-1.00,-0.01,88.24,86.24,0.25,39.25,1566,,,,,
2199,Robo-Lions,3,3.92,-0.03,0.00,0.00,0.33,0.00,19.84,0.33,-1.00,-1.00,6.61,23.76,0.26,-0.04,-0.01,0.33,0.33,0.10,-0.02,16.17,0.57,-1.00,-1.00,58.24,0.38,0.13,0.33,42.08,0.74,-1.00,-1.00,0.00,-0.02,0.00,0.06,0.11,0.39,2.83,10.13,36.01,0.74,0.90,-1.00,-1.00,-0.01,92.12,89.70,0.41,41.60,1571,,,,,
2363,Triple Helix,3,4.87,-0.03,0.06,0.06,0.08,0.00,4.89,0.08,-1.00,-1.00,1.63,9.82,-0.66,0.21,0.02,0.33,0.37,0.44,0.00,42.53,2.40,-1.00,-1.00,92.76,0.48,0.23,0.30,50.20,0.94,-1.00,-1.00,0.00,0.00,-0.02,-0.07,0.03,0.03,0.65,0.46,47.42,1.14,2.48,-1.00,-1.00,0.08,103.03,103.03,0.34,51.37,1635,,,,,
