,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,subtracted Opponent teleop Fuel Points,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Quixilver,3,6.10,0.01,1.79,1.79,0.22,0.00,13.19,0.22,-1.00,-1.00,4.40,21.07,2.30,-5.39,-1.58,0.33,0.33,0.50,0.39,53.08,4.77,-1.00,-1.00,86.99,0.34,0.29,0.09,35.48,0.87,-1.00,-1.00,0.02,0.39,-0.03,0.02,-0.28,0.40,-7.18,10.01,66.27,1.55,4.99,-1.00,-1.00,0.21,118.08,157.24,0.48,73.97,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,TEAM  R. I. C. E.  ,3,4.24,-0.08,-0.35,-0.37,0.70,-0.00,41.81,0.70,-1.00,-1.00,13.94,45.68,2.62,-0.74,-0.07,0.33,0.35,0.72,0.06,30.75,3.25,-1.00,-1.00,83.82,0.23,0.32,0.51,53.14,0.92,-1.00,-1.00,0.00,0.06,0.21,0.22,0.04,0.79,2.05,20.80,72.56,1.47,3.95,-1.00,-1.00,-0.44,150.30,156.36,0.35,56.54,1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,Blue Valley CAPS Metal Mustang Robotics,3,5.50,0.01,-0.56,-0.56,0.32,0.00,19.49,0.32,-1.00,-1.00,6.50,24.43,1.51,-0.06,0.15,0.33,0.36,0.36,0.33,42.47,3.84,-1.00,-1.00,81.90,0.25,0.35,0.19,39.28,0.90,-1.00,-1.00,0.00,0.33,-0.18,-0.03,0.10,0.50,1.56,12.39,61.96,1.39,4.17,-1.00,-1.00,-0.41,118.73,151.73,0.25,59.96,1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,Robots by the C,3,4.98,0.11,0.14,0.19,0.37,0.00,21.95,0.37,-1.00,-1.00,7.32,27.12,-0.59,-4.40,-1.44,0.33,0.38,0.65,0.07,42.63,3.40,-1.00,-1.00,96.33,0.27,0.60,0.23,55.14,0.83,-1.00,-1.00,-0.01,0.07,0.11,0.08,0.09,0.82,2.84,20.92,64.57,1.43,3.77,-1.00,-1.00,-1.25,144.37,151.62,0.34,58.61,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5499,Bay Orangutans,3,5.95,-0.38,-0.18,-0.30,0.27,0.07,20.47,0.34,-1.00,-1.00,6.82,26.12,-2.00,0.29,-0.15,0.33,0.33,0.47,0.32,44.59,4.12,-1.00,-1.00,86.47,0.04,0.63,0.17,42.03,0.79,-1.00,-1.00,0.00,0.32,0.05,-0.00,-0.07,0.27,-1.59,6.74,65.06,1.46,4.46,-1.00,-1.00,-0.45,119.33,151.12,0.62,84.48,1634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2992,The S.S. Prometheus,3,5.49,0.00,-0.74,-0.74,0.59,0.00,35.26,0.59,-1.00,-1.00,11.75,40.01,-0.02,0.83,0.23,0.33,0.33,0.60,0.20,35.45,3.72,-1.00,-1.00,84.10,0.50,0.38,0.09,48.41,0.88,-1.00,-1.00,-0.02,0.20,-0.08,-0.18,0.15,0.31,3.36,6.80,70.71,1.47,4.31,-1.00,-1.00,-0.51,130.91,151.05,0.30,61.46,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473,Goldstrikers,3,5.58,-0.77,-0.32,-0.56,0.39,0.00,23.70,0.39,-1.00,-1.00,7.90,28.72,0.01,-0.60,-0.17,0.34,0.32,0.56,0.09,36.88,3.04,-1.00,-1.00,96.82,0.44,0.33,0.43,60.11,0.75,-1.00,-1.00,0.01,0.09,-0.10,0.10,0.16,0.64,3.44,16.59,60.57,1.32,3.43,-1.00,-1.00,-0.73,142.13,150.96,0.66,73.27,1541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2252,The Mavericks,3,5.18,-0.11,0.30,0.28,0.46,0.00,27.46,0.46,-1.00,-1.00,9.15,32.92,-0.41,1.89,0.48,0.33,0.35,0.62,0.11,38.06,3.35,-1.00,-1.00,96.14,0.29,0.50,0.37,57.60,0.89,-1.00,-1.00,0.00,0.11,-0.08,0.27,-0.04,0.34,-1.49,9.86,65.52,1.41,3.81,-1.00,-1.00,0.76,138.92,149.45,0.53,60.15,1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Hedgehogs,3,4.90,-0.02,0.60,0.60,0.40,0.00,23.93,0.40,-1.00,-1.00,7.98,29.44,0.15,1.50,0.45,0.33,0.33,0.39,0.25,36.33,3.32,-1.00,-1.00,91.06,0.18,0.36,0.54,54.27,0.94,-1.00,-1.00,0.01,0.25,0.01,-0.02,-0.20,0.16,-5.07,3.97,60.26,1.31,3.72,-1.00,-1.00,1.05,124.46,149.39,0.17,33.65,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Grasshoppers,3,4.41,-0.02,0.24,0.24,0.21,0.00,12.83,0.21,-1.00,-1.00,4.28,17.48,-0.18,-0.17,-0.11,0.33,0.32,0.55,0.23,49.06,4.03,-1.00,-1.00,97.99,0.61,0.15,0.22,49.04,0.79,-1.00,-1.00,0.00,0.23,-0.01,-0.18,0.19,0.46,4.66,10.59,61.89,1.44,4.24,-1.00,-1.00,0.13,126.06,149.21,0.39,50.17,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
