Minnesota10000Lakes,mnmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
2825,Roc Robotics,2,2.88,-0.19,-0.39,-0.39,-0.03,0.00,-1.67,-0.03,-1.00,-1.00,-0.56,2.11,-0.79,-1.55,-0.51,0.31,0.20,-0.03,-0.01,17.46,0.30,-1.00,-1.00,28.30,-0.00,-0.00,-0.01,6.40,-1.00,-1.00,-1.00,-0.01,-0.01,0.24,-0.07,0.27,-0.08,7.21,-1.76,22.21,0.53,0.37,-1.00,-1.00,-0.62,38.06,37.96,0.04,-22.62,1414,,,,,
2846,FireBears,3,3.66,0.00,0.02,0.02,-0.20,0.00,-11.87,-0.20,-1.00,-1.00,-3.96,-8.19,-0.19,0.57,0.12,0.33,0.22,0.19,-0.01,37.66,1.35,-1.00,-1.00,61.91,0.08,0.22,0.19,24.13,0.38,-1.00,-1.00,0.00,-0.01,0.26,0.09,0.08,0.10,3.19,2.83,25.79,0.74,1.15,-1.00,-1.00,0.14,56.55,55.74,-0.11,-29.45,1467,,,,,
2847,The MegaHertz,2,3.87,0.03,0.16,0.16,0.09,0.00,5.17,0.09,-1.00,-1.00,1.72,9.22,0.33,1.06,0.35,0.33,0.29,0.08,0.00,24.50,0.82,-1.00,-1.00,42.78,0.12,0.12,0.12,17.91,-1.00,-1.00,-1.00,0.00,0.00,0.09,0.09,0.09,0.09,2.74,2.70,29.70,0.70,0.90,-1.00,-1.00,0.51,54.75,54.86,0.17,-0.10,1427,,,,,
2855,BEASTBOT,3,0.67,0.45,0.31,0.46,0.14,0.00,8.37,0.14,-1.00,-1.00,2.79,9.50,0.46,4.12,1.41,0.33,0.18,-0.20,-0.01,6.69,-0.64,-1.00,-1.00,14.66,0.13,0.02,-0.02,6.56,0.13,-1.00,-1.00,0.00,-0.01,-0.04,-0.12,-0.27,-0.19,-7.00,-5.28,15.05,0.31,-0.50,-1.00,-1.00,1.87,18.89,18.31,-0.04,-31.22,1370,,,,,
2879,Oriole Robotics,2,3.14,-0.13,-0.25,-0.24,0.00,0.00,0.10,0.00,-1.00,-1.00,0.03,3.95,-0.50,-0.88,-0.29,0.32,0.22,-0.00,-0.01,19.28,0.43,-1.00,-1.00,32.05,0.03,0.03,0.02,9.38,-1.00,-1.00,-1.00,-0.01,-0.01,0.20,-0.03,0.22,-0.04,6.05,-0.61,24.15,0.58,0.51,-1.00,-1.00,-0.33,42.38,42.33,0.07,-16.80,1379,,,,,
3007,Robotitans,2,4.04,0.07,0.25,0.26,0.11,0.00,6.35,0.11,-1.00,-1.00,2.12,10.44,0.52,1.50,0.50,0.33,0.30,0.10,0.00,25.70,0.90,-1.00,-1.00,45.26,0.14,0.14,0.14,19.88,-1.00,-1.00,-1.00,0.00,0.00,0.06,0.11,0.06,0.12,1.98,3.47,30.98,0.73,0.99,-1.00,-1.00,0.71,57.60,57.75,0.19,3.75,1568,,,,,
3023,STARK Industries,3,4.60,-0.35,-0.23,-0.30,0.51,0.00,30.72,0.51,-1.00,-1.00,10.24,35.01,3.28,-0.85,0.09,0.33,0.33,-0.00,-0.11,1.52,-0.52,-1.00,-1.00,40.32,0.18,0.44,0.16,38.70,0.70,-1.00,-1.00,0.00,-0.11,0.29,-0.11,-0.14,-0.14,-2.07,-4.06,32.24,0.55,-0.01,-1.00,-1.00,-0.21,71.27,60.36,0.05,-12.75,1373,,,,,
3026,Orange Crush,3,4.35,0.00,-0.20,-0.20,0.17,0.00,10.20,0.17,-1.00,-1.00,3.40,14.35,0.16,1.64,0.33,0.33,0.13,-0.07,-0.00,8.57,-0.20,-1.00,-1.00,3.08,-0.18,0.10,-0.03,-5.81,0.13,-1.00,-1.00,0.00,-0.00,0.17,-0.12,-0.02,0.44,0.35,10.50,18.77,0.38,-0.03,-1.00,-1.00,0.12,27.94,27.66,0.30,-11.18,1470,,,,,
3038,ICE,2,4.95,0.27,0.75,0.76,0.21,0.00,12.60,0.21,-1.00,-1.00,4.20,16.93,1.54,3.89,1.28,0.35,0.38,0.20,0.02,32.13,1.38,-1.00,-1.00,58.50,0.26,0.26,0.25,30.41,-1.00,-1.00,-1.00,0.01,0.02,-0.08,0.25,-0.10,0.28,-2.10,7.55,37.83,0.88,1.48,-1.00,-1.00,1.75,72.86,73.21,0.31,24.33,1508,,,,,
3058,AnnDroids,2,4.38,0.14,0.43,0.44,0.14,0.00,8.64,0.14,-1.00,-1.00,2.88,12.82,0.89,2.38,0.78,0.34,0.33,0.14,0.01,28.06,1.08,-1.00,-1.00,50.12,0.18,0.18,0.18,23.75,-1.00,-1.00,-1.00,0.00,0.01,0.01,0.16,0.00,0.18,0.48,4.97,33.50,0.78,1.17,-1.00,-1.00,1.09,63.21,63.43,0.23,11.31,1434,,,,,
