ChampionshipHouston,cmptx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
585,Cyber Penguins,3,4.75,0.20,-2.88,-2.83,-0.02,0.00,-1.31,-0.02,-1.00,-1.00,-0.44,0.62,0.17,7.68,2.60,0.33,0.18,-0.01,0.00,20.92,0.33,-1.00,-1.00,36.35,0.09,-0.08,0.25,12.83,0.56,-1.00,-1.00,-0.01,0.00,0.08,0.22,0.72,0.17,18.43,5.31,19.62,0.50,0.30,-1.00,-1.00,-0.23,42.27,42.16,0.12,-42.45,1316,,,,,
587,Hedgehogs,3,4.90,-0.02,0.60,0.60,0.40,0.00,23.93,0.40,-1.00,-1.00,7.98,29.44,0.15,1.50,0.45,0.33,0.33,0.39,0.25,36.33,3.32,-1.00,-1.00,91.06,0.18,0.36,0.54,54.27,0.94,-1.00,-1.00,0.01,0.25,0.01,-0.02,-0.20,0.16,-5.07,3.97,60.26,1.31,3.72,-1.00,-1.00,1.05,124.46,149.39,0.17,33.65,1607,,,,,
604,Quixilver,3,6.10,0.01,1.79,1.79,0.22,0.00,13.19,0.22,-1.00,-1.00,4.40,21.07,2.30,-5.39,-1.58,0.33,0.33,0.50,0.39,53.08,4.77,-1.00,-1.00,86.99,0.34,0.29,0.09,35.48,0.87,-1.00,-1.00,0.02,0.39,-0.03,0.02,-0.28,0.40,-7.18,10.01,66.27,1.55,4.99,-1.00,-1.00,0.21,118.08,157.24,0.48,73.97,1677,,,,,
624,CRyptonite,3,4.52,0.00,1.41,1.41,0.49,0.00,29.21,0.49,-1.00,-1.00,9.74,35.14,-0.01,8.39,2.61,0.33,0.33,0.45,0.04,26.87,2.23,-1.00,-1.00,69.74,0.34,0.14,0.32,40.27,0.75,-1.00,-1.00,-0.01,0.04,0.14,0.40,0.37,-0.12,9.92,-1.00,56.08,1.16,2.72,-1.00,-1.00,4.02,103.88,107.88,0.22,20.91,1573,,,,,
662,Rocky Mountain Robotics,3,4.66,-0.19,-0.32,-0.38,0.02,0.00,1.20,0.02,-1.00,-1.00,0.40,5.48,-0.76,-0.18,-0.14,0.33,0.37,-0.03,-0.00,25.96,0.58,-1.00,-1.00,77.55,0.26,0.37,0.41,51.72,0.69,-1.00,-1.00,-0.01,-0.00,-0.01,0.33,-0.06,0.09,-1.48,4.01,27.16,0.67,0.60,-1.00,-1.00,-0.51,87.04,86.90,0.35,42.84,1582,,,,,
696,Circuit Breakers,3,4.44,-0.02,-0.09,-0.10,0.19,0.00,11.60,0.19,-1.00,-1.00,3.87,15.95,1.72,-4.31,-1.16,0.33,0.34,0.34,0.09,36.44,2.38,-1.00,-1.00,30.40,-0.14,-0.06,0.10,-4.88,0.59,-1.00,-1.00,-0.04,0.09,0.15,-0.15,-0.21,0.82,-4.43,19.75,48.04,1.10,2.57,-1.00,-1.00,-1.26,66.09,74.48,0.61,59.10,1623,,,,,
701,RoboVikes,3,4.80,-0.22,1.00,0.93,0.44,0.08,30.82,0.51,-1.00,-1.00,10.27,36.55,-0.24,-0.90,-0.35,0.33,0.33,0.44,0.14,29.33,2.76,-1.00,-1.00,81.44,0.28,0.40,0.38,52.46,0.69,-1.00,-1.00,0.02,0.14,-0.02,0.20,0.15,0.23,3.67,6.82,60.16,1.25,3.27,-1.00,-1.00,0.58,124.81,139.28,0.40,42.70,1543,,,,,
744,Shark Attack,3,4.56,-0.02,-0.04,-0.05,0.61,-0.00,36.57,0.61,-1.00,-1.00,12.19,41.08,-0.41,5.48,1.67,0.35,0.30,0.52,-0.00,22.52,2.09,-1.00,-1.00,57.91,0.12,0.12,0.43,33.72,0.72,-1.00,-1.00,0.00,-0.00,0.10,0.07,-0.03,0.09,-0.34,2.50,59.09,1.17,2.70,-1.00,-1.00,1.62,101.50,101.29,0.25,25.29,1578,,,,,
812,The Midnight Mechanics,3,4.22,-0.00,1.13,1.13,0.12,0.00,7.18,0.12,-1.00,-1.00,2.39,12.53,0.19,3.58,1.23,0.35,0.41,0.46,0.00,44.22,2.57,-1.00,-1.00,92.66,0.46,0.16,0.33,47.21,0.93,-1.00,-1.00,0.04,0.00,-0.16,0.01,0.04,0.18,0.23,4.61,51.40,1.23,2.69,-1.00,-1.00,2.36,109.81,110.68,0.53,44.28,1502,,,,,
932,Circuit Chargers,3,2.53,0.00,-0.06,-0.06,0.52,0.00,31.15,0.52,-1.00,-1.00,10.38,33.62,-0.20,-0.12,-0.03,0.33,0.29,0.34,0.00,17.93,1.45,-1.00,-1.00,58.03,0.67,0.11,0.03,40.13,0.69,-1.00,-1.00,0.00,0.00,0.03,0.20,-0.04,0.06,-0.73,2.58,49.07,0.97,1.97,-1.00,-1.00,-0.10,94.23,94.23,0.10,20.16,1515,,,,,
