team,home championship,,,
1672,St. Louis,,,
1675,St. Louis,,,
1676,St. Louis,,,
1677,St. Louis,,,
1678,Houston,,,
1683,Houston,,,
1684,St. Louis,,,
1690,Houston,,,
1699,St. Louis,,,
1700,Houston,,,
1701,St. Louis,,,
1706,St. Louis,,,
1708,St. Louis,,,
1710,St. Louis,,,
1711,St. Louis,,,
1712,St. Louis,,,
1714,St. Louis,,,
1716,St. Louis,,,
1718,St. Louis,,,
1719,St. Louis,,,
1720,St. Louis,,,
1721,St. Louis,,,
1723,St. Louis,,,
1726,Houston,,,
1727,St. Louis,,,
1729,St. Louis,,,
1730,St. Louis,,,
1731,St. Louis,,,
1732,St. Louis,,,
1735,St. Louis,,,
1736,St. Louis,,,
1737,St. Louis,,,
1739,St. Louis,,,
1740,St. Louis,,,
1741,St. Louis,,,
1742,Houston,,,
1743,St. Louis,,,
1744,Houston,,,
1745,Houston,,,
1746,Houston,,,
1747,St. Louis,,,
1750,Houston,,,
1751,St. Louis,,,
1756,St. Louis,,,
1757,St. Louis,,,
1758,Houston,,,
1759,Houston,,,
1761,St. Louis,,,
1763,St. Louis,,,
1764,St. Louis,,,
1765,St. Louis,,,
1768,St. Louis,,,
1769,St. Louis,,,
1771,Houston,,,
1772,Houston,,,
1775,St. Louis,,,
1777,St. Louis,,,
1778,Houston,,,
1781,St. Louis,,,
1785,St. Louis,,,
1786,St. Louis,,,
1787,St. Louis,,,
1791,St. Louis,,,
1792,St. Louis,,,
1793,St. Louis,,,
1795,Houston,,,
1796,St. Louis,,,
1797,St. Louis,,,
1799,Houston,,,
1802,St. Louis,,,
1803,St. Louis,,,
1806,St. Louis,,,
1807,St. Louis,,,
1810,St. Louis,,,
1811,St. Louis,,,
1816,St. Louis,,,
1817,Houston,,,
1818,Houston,,,
1825,St. Louis,,,
1827,St. Louis,,,
1828,Houston,,,
1831,St. Louis,,,
1836,Houston,,,
1846,St. Louis,,,
1847,St. Louis,,,
1860,Houston,,,
1868,Houston,,,
1872,Houston,,,
1876,Houston,,,
