ChampionshipStLouis,cmpmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
354,G-House Pirates,2,3.67,-0.01,0.04,0.05,0.06,0.00,3.79,0.06,-1.00,-1.00,1.26,7.78,0.10,0.53,0.17,0.33,0.27,0.06,-0.00,23.07,0.71,-1.00,-1.00,39.84,0.10,0.10,0.09,15.58,-1.00,-1.00,-1.00,-0.00,-0.00,0.12,0.05,0.13,0.06,3.65,1.80,28.18,0.67,0.79,-1.00,-1.00,0.28,51.36,51.43,0.14,-4.67,1463,,,,,
359,Hawaiian Kids,3,5.43,0.00,3.00,3.00,0.35,0.00,21.28,0.35,-1.00,-1.00,7.09,29.71,0.11,29.49,9.73,0.24,0.28,0.04,-0.01,8.11,0.23,-1.00,-1.00,50.94,0.17,0.31,0.18,33.09,0.63,-1.00,-1.00,0.19,-0.01,-0.10,0.20,-0.14,0.26,-4.00,7.50,29.39,0.56,0.58,-1.00,-1.00,12.73,88.15,90.77,0.20,48.06,1589,,,,,
369,High Voltage Robotics,3,5.70,-0.08,0.16,0.14,0.26,0.00,15.31,0.26,-1.00,-1.00,5.10,21.14,-0.33,-0.40,-0.12,0.33,0.42,0.49,-0.08,36.05,2.03,-1.00,-1.00,78.60,0.25,0.21,0.40,42.67,0.65,-1.00,-1.00,0.00,-0.08,-0.01,-0.13,0.63,0.04,15.77,0.39,51.36,1.16,2.28,-1.00,-1.00,0.02,100.14,91.78,0.02,-3.56,1525,,,,,
537,Charger Robotics,3,3.30,-0.16,2.58,2.50,0.18,0.00,10.64,0.18,-1.00,-1.00,3.55,16.44,-0.05,22.45,7.29,0.33,0.05,-0.18,-0.03,-0.29,-1.00,-1.00,-1.00,48.97,0.04,0.28,0.51,41.97,0.89,-1.00,-1.00,0.00,-0.03,-0.12,0.09,-0.19,-0.21,-5.45,-4.89,10.35,0.17,-0.82,-1.00,-1.00,9.79,60.52,57.46,0.29,-2.12,1500,,,,,
597,The Wolverines,3,6.20,0.00,0.11,0.11,0.57,0.00,34.17,0.57,-1.00,-1.00,11.39,40.48,4.14,2.59,1.03,0.33,0.33,0.70,-0.05,29.87,2.60,-1.00,-1.00,81.44,0.33,0.26,0.42,50.54,0.83,-1.00,-1.00,0.03,-0.05,-0.03,-0.06,0.04,0.02,0.81,0.22,64.04,1.32,3.17,-1.00,-1.00,1.14,122.13,117.55,0.44,65.46,1557,,,,,
639,Code Red Robotics,3,5.34,0.02,0.10,0.10,0.14,0.00,8.33,0.14,-1.00,-1.00,2.78,13.78,0.78,1.18,0.26,0.32,0.34,0.36,-0.04,33.87,1.77,-1.00,-1.00,63.01,0.44,0.10,0.04,28.88,0.76,-1.00,-1.00,0.00,-0.04,0.08,0.16,0.07,0.88,2.15,22.81,42.20,0.99,1.90,-1.00,-1.00,0.36,99.60,96.03,0.21,36.56,1585,,,,,
677,Murphy's Outlaws,3,1.92,0.13,0.20,0.27,-0.19,0.00,-11.42,-0.19,-1.00,-1.00,-3.81,-9.23,4.28,0.72,0.56,0.33,0.34,0.23,-0.01,43.66,1.75,-1.00,-1.00,29.51,0.04,-0.22,-0.11,-14.72,0.00,-1.00,-1.00,0.01,-0.01,0.06,0.04,0.91,-0.27,23.01,-6.55,32.24,0.90,1.56,-1.00,-1.00,0.83,13.72,12.91,-0.38,-105.99,1318,,,,,
694,StuyPulse,3,4.32,0.00,-0.17,-0.17,0.05,0.00,2.89,0.05,-1.00,-1.00,0.96,7.03,0.04,-5.03,-1.65,0.34,0.33,0.62,0.00,49.73,3.11,-1.00,-1.00,63.32,0.36,-0.14,0.09,15.24,0.42,-1.00,-1.00,0.00,0.00,-0.09,-0.16,0.26,0.28,6.12,6.30,52.62,1.29,3.16,-1.00,-1.00,-1.83,76.65,76.65,0.35,13.37,1563,,,,,
876,Thunder Robotics,3,4.17,0.08,0.80,0.80,0.47,0.00,28.48,0.47,-1.00,-1.00,9.49,33.45,-0.28,-0.08,-0.02,0.33,0.34,0.41,0.29,35.87,3.55,-1.00,-1.00,85.95,0.13,0.48,0.40,50.10,0.88,-1.00,-1.00,0.00,0.29,0.12,0.46,0.26,1.08,7.00,29.40,64.36,1.37,4.02,-1.00,-1.00,0.78,148.81,177.97,0.60,99.46,1660,,,,,
930,Mukwonago BEARs,3,3.67,-0.98,0.83,0.54,0.37,0.00,22.45,0.37,-1.00,-1.00,7.48,26.66,2.48,34.41,11.44,0.33,0.36,-0.09,-0.01,8.98,-0.06,-1.00,-1.00,47.13,0.08,0.21,0.24,26.71,0.79,-1.00,-1.00,0.00,-0.01,-0.11,-0.03,-0.19,-0.17,-5.23,-4.29,31.44,0.60,0.32,-1.00,-1.00,11.98,69.50,68.63,0.12,8.59,1510,,,,,
