ONMcMasterUniversity,onham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Auto,,,,,,,,,,,,Teleop,,,,,,,,,,,,Endgame,,,,Defense,,,Miscellaneous,,,,,,,,Aggregate,,,,,,,,,,,,,,,
team Number,nickname,seed Strength,auto Mobility Points,auto Fuel Low,auto Fuel High,auto Fuel Points,rotor 1 Auto,rotor 2 Auto,auto Rotor Points,auto Scored Gears,estimated Auto Gears,estimated Auto Gears 2,auto Rotor Bonus,auto Points,teleop Fuel Low,teleop Fuel High,teleop Fuel Points,rotor 1 Engaged,rotor 2 Engaged,rotor 3 Engaged,rotor 4 Engaged,teleop Rotor Points,teleop Scored Gears,estimated Teleop Gears,estimated Teleop Gears 2,teleop Points,touchpad Near,touchpad Middle,touchpad Far,teleop Takeoff Points,anterior Touchpad Activation Rate,estimated Subtracted Opponent Gears,subtracted Opponent Teleop Points,kPa Ranking Point Achieved,rotor Ranking Point Achieved,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,total Rotor Points,total Rotors Engaged,total Scored Gears,estimated Total Gears,estimated Total Gears 2,kPa Added,total Points,playoff Total Points,win,winning Margin,winning Margin Elo,,,,,
4902,The Wildebots,3,4.36,-0.03,-0.91,-0.92,-0.14,-0.00,-8.64,-0.14,-1.00,-1.00,-2.88,-5.20,0.01,-3.03,-1.01,0.33,0.25,0.18,-0.05,34.07,1.04,-1.00,-1.00,25.45,-0.18,-0.05,0.07,-7.61,0.24,-1.00,-1.00,-0.04,-0.05,0.18,0.37,0.17,0.02,5.13,2.35,25.43,0.71,0.89,-1.00,-1.00,-1.93,22.60,16.48,-0.17,-93.52,1285,,,,,
4907,Thunderstamps,3,3.75,0.00,-0.18,-0.18,0.11,0.00,6.31,0.11,-1.00,-1.00,2.10,9.89,-0.07,1.26,0.37,0.33,0.35,0.35,0.00,37.34,2.01,-1.00,-1.00,28.75,-0.12,-0.05,-0.00,-8.96,0.20,-1.00,-1.00,0.00,0.00,0.08,-0.11,0.65,0.42,16.66,9.92,43.65,1.04,2.11,-1.00,-1.00,0.19,48.55,48.72,0.11,-30.31,1353,,,,,
4939,Allspark9,3,5.10,0.00,0.59,0.59,0.54,0.00,32.26,0.54,-1.00,-1.00,10.75,37.95,0.55,1.27,0.42,0.33,0.39,0.66,0.00,33.65,2.87,-1.00,-1.00,83.10,0.38,0.08,0.52,49.04,0.79,-1.00,-1.00,0.00,0.00,0.11,0.00,-0.32,0.22,-7.37,5.43,65.91,1.38,3.40,-1.00,-1.00,1.01,126.48,126.48,0.43,90.91,1598,,,,,
4943,"""R Cubed""  ",3,0.14,0.00,-0.46,-0.46,-0.10,0.00,-6.28,-0.10,-1.00,-1.00,-2.09,-6.60,-0.03,-1.54,-0.52,0.33,0.27,-0.09,0.01,24.65,0.30,-1.00,-1.00,29.26,0.06,0.11,-0.06,5.13,0.25,-1.00,-1.00,0.00,0.01,-0.14,-0.05,1.18,-0.29,28.93,-7.47,18.36,0.51,0.19,-1.00,-1.00,-0.97,15.20,15.72,-0.09,-99.72,1188,,,,,
4951,CDS Cyclones,3,4.22,-0.16,-0.27,-0.28,0.11,0.00,6.36,0.11,-1.00,-1.00,2.12,10.31,-1.44,0.38,0.01,0.33,0.38,0.12,0.00,29.17,1.15,-1.00,-1.00,75.30,0.35,0.23,0.34,46.12,0.64,-1.00,-1.00,0.00,0.00,0.14,0.17,0.14,0.08,4.13,2.86,35.54,0.84,1.25,-1.00,-1.00,-0.27,88.47,88.47,0.36,50.21,1498,,,,,
4976,Rebels,3,3.03,0.00,0.12,0.12,0.04,0.00,2.46,0.04,-1.00,-1.00,0.82,5.61,-0.84,3.13,0.97,0.33,0.37,0.66,0.07,55.66,3.77,-1.00,-1.00,114.15,0.33,0.51,0.31,57.53,0.85,-1.00,-1.00,0.00,0.07,-0.03,-0.06,0.35,-0.31,8.58,-8.02,58.11,1.43,3.81,-1.00,-1.00,1.09,111.74,119.20,0.50,51.87,1587,,,,,
4992,Spartans,3,4.09,0.23,-0.22,-0.18,-0.12,0.00,-7.18,-0.12,-1.00,-1.00,-2.39,-3.27,-0.35,-0.02,-0.08,0.25,0.22,-0.01,0.00,23.25,0.45,-1.00,-1.00,39.10,-0.06,0.20,0.18,15.93,0.17,-1.00,-1.00,0.00,0.00,0.19,0.06,-0.17,0.13,-3.29,3.54,16.07,0.46,0.33,-1.00,-1.00,-0.26,39.38,39.38,0.01,-28.81,1386,,,,,
5288,The Spartans,3,3.24,0.00,0.86,0.86,0.10,0.00,5.95,0.10,-1.00,-1.00,1.98,10.05,0.23,-0.28,-0.07,0.33,0.35,-0.02,-0.02,21.94,0.41,-1.00,-1.00,51.99,0.15,0.22,0.23,30.11,0.50,-1.00,-1.00,0.00,-0.02,-0.12,-0.04,-0.04,0.07,-1.72,1.42,27.89,0.65,0.51,-1.00,-1.00,0.79,63.45,61.27,0.14,-24.14,1375,,,,,
5406,Celt-X,3,3.29,0.00,0.10,0.10,0.32,0.00,19.01,0.32,-1.00,-1.00,6.34,22.41,-0.61,0.84,0.16,0.33,0.38,0.23,-0.01,24.73,1.30,-1.00,-1.00,68.44,0.27,0.33,0.28,43.55,0.85,-1.00,-1.00,0.00,-0.01,0.07,0.11,-0.30,0.27,-7.26,7.36,43.74,0.94,1.62,-1.00,-1.00,0.26,98.21,97.58,0.45,60.19,1596,,,,,
5409,Chargers,3,3.57,0.00,-0.14,-0.14,0.09,0.00,5.70,0.09,-1.00,-1.00,1.90,9.13,0.14,1.77,0.42,0.33,0.33,0.09,-0.03,24.59,0.69,-1.00,-1.00,39.35,0.07,0.23,-0.01,14.33,0.42,-1.00,-1.00,0.00,-0.03,0.40,-0.23,-0.04,0.05,1.00,0.04,30.29,0.71,0.79,-1.00,-1.00,0.28,48.52,45.08,-0.04,-38.80,1368,,,,,
